雅居园南苑 三室两厅两卫 精装修 公摊少 视野宽阔,雅居园,济阳,3室2厅 ,143.65, 南 北 , 精装 ,5, 暂无数据,0,26,900000.0,"6,266元/平",VR看装修 房本满五年 随时看房 
三室朝阳  带大楼台 停车方便 随时看房,名门世家(济阳区),济阳,3室2厅 ,80.0, 南 北 , 简装 ,6, 板楼,1,28,620000.0,"7,750元/平",VR看装修 
帝华书香苑 3室2厅 南 北,帝华书香苑,济阳,3室2厅 ,117.0, 南 北 , 简装 ,18, 暂无数据,0,19,760000.0,"6,496元/平",VR看装修 
雅居园六区 三室两厅一卫  低公摊带储藏室,雅居园,济阳,3室2厅 ,114.0, 南 北 , 简装 ,6, 板楼,0,22,790000.0,"6,930元/平",VR房源 
禧福凤凰城 3室1厅 南 北,禧福凤凰城,济阳,3室1厅 ,140.8, 南 北 , 简装 ,28, 暂无数据,1,27,1200000.0,"8,523元/平",VR房源 
四室两厅两卫  东临车站 西邻澄波湖乐园 免高税,金湖国际,济阳,4室2厅 ,152.9, 南 北 , 简装 ,31, 板楼,1,27,1200000.0,"7,849元/平",VR看装修 
此房精装修 免高税  带阁楼 全天采光,三功开元阁,济阳,3室2厅 ,165.11, 南 北 , 精装 ,6, 板楼,0,18,920000.0,"5,573元/平",VR房源 
银都花园两室房子带10.5平储藏室,银都花园,济阳,3室2厅 ,101.73, 南 , 简装 ,23, 板楼,0, 11个月以前发布,810000.0,"7,963元/平",VR看装修 房本满两年 
此房精装小洋房 免高税 储藏室26平,雅居园,济阳,3室2厅 ,134.25, 南 北 , 精装 ,11, 板楼,2, 1个月以前发布,1070000.0,"7,971元/平",VR看装修 房本满两年 
此房南北通透 楼层好 采光无忧 配套设施齐全 交通便利,三箭馨阳嘉苑,济阳,3室2厅 ,123.76, 南 北 , 简装 ,30, 暂无数据,0,8,760000.0,"6,141元/平",VR看装修 
济北花园 3室2厅 南,济北花园,济阳,3室2厅 ,125.0, 南 , 精装 ,5, 板楼,0,8,1080000.0,"8,640元/平",VR房源 
免高税140平仅售102万大三室带车位储藏室带物业储值卡,帝华幸福苑,济阳,3室1厅 ,139.13, 南 北 , 简装 ,23, 板塔结合,0,14,1020000.0,"7,332元/平",VR看装修 
禧福凤凰城 两室两厅一卫  简单装修,禧福凤凰城,济阳,2室2厅 ,86.61, 南 , 简装 ,18, 暂无数据,1,16,730000.0,"8,429元/平",VR看装修 
闻韶佳苑 三室两厅 小高层 边户 南北通透,闻韶佳苑,济阳,3室2厅 ,133.0, 南 北 , 毛坯 ,17, 板楼,1,9,1200000.0,"9,023元/平",VR看装修 
华鑫现代城  两室两厅一卫 一楼带储藏室,华鑫现代城,济阳,2室1厅 ,60.0, 南 北 , 简装 ,6, 暂无数据,0,15,490000.0,"8,167元/平",VR看装修 
新世纪 2室1厅 南,新世纪,济阳,2室1厅 ,78.78, 南 , 精装 ,4, 暂无数据,0,6,530000.0,"6,728元/平",VR房源 
出售两室  户型方正好楼层  免高税,禧福凤凰城,济阳,2室1厅 ,59.65, 南 北 , 精装 ,12, 暂无数据,7, 一年前发布,430000.0,"7,209元/平",VR房源 房本满两年 
三发舜鑫苑127平三室两卫83万带储藏室16平免高税,三发舜鑫苑东区,济阳,3室2厅 ,126.84, 南 北 , 简装 ,8, 板楼,4, 一年前发布,830000.0,"6,544元/平",VR看装修 房本满五年 
三发多带车库三室低公摊免高税三室朝阳,三发舜鑫苑西区,济阳,3室2厅 ,114.66, 南 北 , 简装 ,7, 板楼,3, 11个月以前发布,950000.0,"8,286元/平",VR看装修 房本满五年 
济北花园精装大两室 南北通透 采光无忧 公摊少,济北花园,济阳,2室2厅 ,100.0, 南 北 , 精装 ,5, 板楼,0, 1个月以前发布,920000.0,"9,200元/平",VR房源 房本满两年 
金湖国际90平精装两室免高税可分期,金湖国际,济阳,2室2厅 ,89.51, 南 , 精装 ,31, 板楼,1, 7个月以前发布,690000.0,"7,709元/平",VR看装修 房本满两年 
此房满五唯一  电梯房 户型方正 看房方便,幸福·泉城尚郡,济阳,3室2厅 ,123.84, 南 北 , 精装 ,8, 板楼,1, 2个月以前发布,920000.0,"7,429元/平",VR看装修 房本满五年 
出售华鑫两室 中间楼层  步梯公摊少 免高税,华鑫现代城,济阳,2室2厅 ,84.09, 南 北 , 简装 ,5, 暂无数据,0, 9个月以前发布,610000.0,"7,255元/平",VR看装修 房本满五年 
金海花园 单价7100买现房 全天采光 配套齐全,四建金海花园,济阳,2室2厅 ,93.17, 南 , 简装 ,25, 暂无数据,3, 1个月以前发布,640000.0,"6,870元/平",VR看装修 房本满两年 
美凯龙步梯洋房  视野宽阔 采光无忧！,美凯龙小区,济阳,3室2厅 ,81.72, 南 , 精装 ,7, 暂无数据,19, 9个月以前发布,400000.0,"4,895元/平",VR房源 房本满五年 
腾骐骏安西区2室2厅1卫，精装修，产权清晰,腾骐骏安西区,济阳,2室2厅 ,77.02, 南 北 , 精装 ,6, 板楼,2, 8个月以前发布,470000.0,"6,103元/平",VR看装修 房本满两年 
澄波湖壹号 精装修 三室两卫纯边户 免高税,澄波湖壹号,济阳,3室2厅 ,134.91, 南 北 , 精装 ,30, 暂无数据,1, 2个月以前发布,980000.0,"7,265元/平",VR看装修 房本满两年 
此房满五唯一，楼层好，公摊低，采光充足，户型方正,科信达永康苑,济阳,3室2厅 ,120.0, 南 北 , 简装 ,7, 暂无数据,5, 10个月以前发布,830000.0,"6,917元/平",VR看装修 随时看房 
18万精装未住带地下车位带储藏室拎包入住采光充足,帝华北岸新城,济阳,2室2厅 ,92.59, 南 北 , 精装 ,27, 暂无数据,3, 7个月以前发布,800000.0,"8,641元/平",VR看装修 随时看房 
澄波湖143平三室两卫三面朝阳免高税,澄波湖壹号,济阳,3室2厅 ,143.0, 南 北 , 简装 ,30, 板塔结合,1, 3个月以前发布,1130000.0,"7,903元/平",VR看装修 随时看房 
好楼层 全天 采光无忧，配套设施齐全，交通便利,帝华幸福苑,济阳,2室2厅 ,85.15, 南 , 简装 ,33, 板楼,3, 5个月以前发布,550000.0,"6,460元/平",VR房源 随时看房 
澄波湖壹号 小三室 有钥匙 随时看房,澄波湖壹号,济阳,3室1厅 ,110.0, 南 北 , 简装 ,31, 暂无数据,2, 2个月以前发布,880000.0,"8,000元/平",VR房源 随时看房 
济北花园 3室2厅 南 北,济北花园,济阳,3室2厅 ,105.0, 南 北 , 精装 ,6, 板楼,1,16,930000.0,"8,858元/平",VR看装修 
澄波湖壹号 3室2厅 南 北,澄波湖壹号,济阳,3室2厅 ,142.9, 南 北 , 其他 ,27, 暂无数据,3,21,1049000.0,"7,341元/平",VR看装修 
此房中间好楼层  电梯小洋房 带车位储藏室,帝华书香苑,济阳,3室2厅 ,124.21, 南 北 , 毛坯 ,11, 暂无数据,0, 2个月以前发布,930000.0,"7,488元/平",VR房源 
雅然居小区 正规三室  使用面积110平 带储藏室,雅然居,济阳,3室1厅 ,104.0, 南 北 , 简装 ,8, 暂无数据,1, 1个月以前发布,700000.0,"6,731元/平",VR房源 
诚心出售澄波湖95平两室好楼层免高税,澄波湖壹号,济阳,2室2厅 ,94.71, 南 , 简装 ,24, 暂无数据,0,30,720000.0,"7,603元/平",VR看装修 
腾骐骏安西区 2室2厅 南 北,腾骐骏安西区,济阳,2室2厅 ,82.39, 南 北 , 简装 ,19, 板楼,1,23,560000.0,"6,797元/平",VR看装修 
带车位 带储藏室带家具家电 精装修 免高税,四建金海花园,济阳,2室2厅 ,93.0, 南 , 精装 ,21, 暂无数据,1,21,830000.0,"8,925元/平",VR看装修 
澄波湖95平简装两室免高税诚心出售好楼层,澄波湖壹号,济阳,2室1厅 ,94.71, 南 , 简装 ,24, 暂无数据,0,30,700000.0,"7,391元/平",VR看装修 
此房好楼层 大两室 精装修 免高税  带储藏室,四建金海花园,济阳,2室2厅 ,97.0, 南 北 , 精装 ,17, 板塔结合,1,20,775000.0,"7,990元/平",VR看装修 
闻韶佳苑  两室两厅一卫 免高税  东邻植物园 安大广场,闻韶佳苑,济阳,2室2厅 ,80.5, 南 北 , 简装 ,28, 板楼,0, 1个月以前发布,698000.0,"8,671元/平",VR看装修 
此房免高税 产权清晰，带车位，正常首付,澄波湖壹号,济阳,2室1厅 ,90.0, 南 北 , 精装 ,18, 暂无数据,1,24,838000.0,"9,312元/平",VR房源 
雅居园西苑洋房精装修99平100万免高税,雅居园,济阳,2室1厅 ,99.0, 南 北 , 精装 ,11, 板楼,1,18,1000000.0,"10,102元/平",VR看装修 
三发舜鑫苑西区102平大两室60万免高税,三发舜鑫苑西区,济阳,2室2厅 ,101.9, 南 北 , 毛坯 ,7, 暂无数据,0,24,595000.0,"5,840元/平",VR看装修 
诚心出售新世纪99平大两室免高税60万,新世纪,济阳,2室1厅 ,94.7, 南 北 , 简装 ,6, 板塔结合,1,17,600000.0,"6,336元/平",VR看装修 
此房精装修 好楼层 全天 采光无忧， 带车位,帝华幸福苑,济阳,2室2厅 ,98.06, 南 北 , 精装 ,33, 板楼,0,16,740000.0,"7,547元/平",VR看装修 
免高税！精装修低公摊，一梯两户，全明户型，好楼层，,新世纪,济阳,3室2厅 ,121.61, 南 , 精装 ,6, 暂无数据,5, 一年前发布,960000.0,"7,895元/平",VR房源 房本满五年 
此房满五唯一  好楼层 带储藏室,雅居园,济阳,2室2厅 ,99.24, 南 北 , 简装 ,6, 板楼,3, 2个月以前发布,770000.0,"7,759元/平",VR看装修 房本满五年 
华鑫现代城 1室1厅 南,华鑫现代城,济阳,1室1厅 ,38.23, 南 , 精装 ,24, 板塔结合,0,4,300000.0,"7,848元/平",VR房源 
诚心出售力高未来城95平三室67万可分期,力高未来城,济阳,3室2厅 ,95.11, 南 北 , 简装 ,29, 板楼,7, 2个月以前发布,670000.0,"7,045元/平",VR看装修 随时看房 
出售澄波湖小高层72万精装两室拎包入住免高税,澄波湖壹号,济阳,2室1厅 ,87.6, 南 , 精装 ,18, 暂无数据,1, 3个月以前发布,710000.0,"8,106元/平",VR看装修 随时看房 
三发舜鑫苑西区 3室2厅 南 北,三发舜鑫苑西区,济阳,3室2厅 ,101.0, 南 北 , 其他 ,7, 板楼,1, 1个月以前发布,640000.0,"6,337元/平",VR看装修 随时看房 
好楼层 南北通透 看房方便  精装修,帝华幸福苑,济阳,2室2厅 ,89.5, 南 北 , 简装 ,33, 暂无数据,6, 一年前发布,600000.0,"6,704元/平",VR看装修 随时看房 
腾骐西区 110平，三室两厅一卫，看房方便,腾骐骏安西区,济阳,3室2厅 ,110.0, 南 北 , 简装 ,6, 板楼,2, 一年前发布,814000.0,"7,400元/平",VR房源 随时看房 
澄波湖壹号 三室两厅两卫 免高税 138平带车位115万,澄波湖壹号,济阳,3室2厅 ,138.5, 南 北 , 简装 ,27, 板楼,1, 2个月以前发布,1150000.0,"8,304元/平",VR看装修 随时看房 
清华园简装小三室105平，仅售78万！价格可议！,龙港·清华园,济阳,3室1厅 ,105.32, 南 北 , 简装 ,11, 板塔结合,4, 一年前发布,760000.0,"7,217元/平",VR看装修 
鑫源小区 3室2厅 南,鑫源小区,济阳,3室2厅 ,133.0, 南 , 简装 ,7, 板楼,0, 2个月以前发布,910000.0,"6,843元/平",VR看装修 
此房大两室  精装修 全天采光无忧,龙港·清华园,济阳,2室2厅 ,89.51, 南 , 其他 ,24, 板塔结合,3, 2个月以前发布,600000.0,"6,704元/平",VR看装修 
此房免高税  简单装修 全天采光无忧,名门世家(济阳区),济阳,2室2厅 ,73.0, 南 , 精装 ,6, 板楼,3, 2个月以前发布,430000.0,"5,891元/平",VR房源 
此房精装修 免高税 家具家电全带,澄波湖壹号,济阳,3室2厅 ,126.22, 南 北 , 其他 ,18, 板塔结合,3, 2个月以前发布,980000.0,"7,765元/平",VR看装修 
免高税 楼层好  采光充足 精装修 小高层公摊少,三吉花园(济阳区),济阳,3室2厅 ,120.0, 南 北 , 其他 ,11, 板楼,0, 2个月以前发布,960000.0,"8,000元/平",VR看装修 
精装修两室 户型好  带储藏室 免高税,龙港·清华园,济阳,2室2厅 ,90.0, 南 北 , 其他 ,27, 板塔结合,1, 2个月以前发布,668000.0,"7,423元/平",VR看装修 
户型好，二室朝阳，南北通透，简装修，花园洋房，,新世纪,济阳,2室1厅 ,66.87, 南 北 , 简装 ,6, 暂无数据,4, 7个月以前发布,524000.0,"7,837元/平",VR房源 
银都花园 2室2厅 南 北,银都花园,济阳,2室2厅 ,101.0, 南 北 , 简装 ,28, 暂无数据,0, 3个月以前发布,780000.0,"7,723元/平",VR看装修 
金海花园两室两厅精装修99平77万，带储藏室,四建金海花园,济阳,2室2厅 ,99.0, 南 北 , 简装 ,17, 暂无数据,2, 6个月以前发布,780000.0,"7,879元/平",VR看装修 
金海花园96平精装修87万带车位储藏室小高层好楼层,四建金海花园,济阳,2室2厅 ,96.0, 南 北 , 精装 ,17, 暂无数据,1, 2个月以前发布,870000.0,"9,063元/平",VR看装修 
银都花园 2室2厅 南 北,银都花园,济阳,2室2厅 ,101.0, 南 北 , 精装 ,28, 暂无数据,1, 1个月以前发布,780000.0,"7,723元/平",VR房源 
澄波湖壹号两室两厅 好楼层 采光无忧,澄波湖壹号,济阳,2室2厅 ,82.0, 南 北 , 简装 ,26, 暂无数据,5, 一年前发布,600000.0,"7,318元/平",VR看装修 
泉城尚郡 三居室 复式 楼上楼下 电梯房  采光无忧,幸福·泉城尚郡,济阳,3室2厅 ,148.0, 南 , 简装 ,7, 板楼,0, 一年前发布,1130000.0,"7,636元/平",VR看装修 
此房精装修 三室改两室  带车位储藏室,四建金海花园,济阳,2室2厅 ,103.96, 南 北 , 精装 ,17, 暂无数据,1, 2个月以前发布,945000.0,"9,091元/平",VR看装修 
禧福两室精装 无高税 带12平储 仅售85万,禧福凤凰城,济阳,2室2厅 ,103.0, 南 北 , 精装 ,23, 暂无数据,3, 一年前发布,830000.0,"8,059元/平",VR看装修 
龙港·清华园 3室1厅 南 北,龙港·清华园,济阳,3室1厅 ,142.0, 南 北 , 其他 ,27, 板塔结合,0,1,1050000.0,"7,395元/平",VR房源 
银都花园144平精装四室两卫113万带储藏室免高税,银都花园,济阳,4室2厅 ,143.96, 南 北 , 精装 ,11, 板楼,0,6,1130000.0,"7,850元/平",
澄波湖精装两室 76万免高税好楼层,澄波湖壹号,济阳,2室2厅 ,86.0, 南 , 精装 ,23, 暂无数据,1,19,760000.0,"8,838元/平",
诚心出售 三室两厅两卫 电梯洋房 一梯两户,雅然居,济阳,3室2厅 ,136.64, 南 北 , 精装 ,8, 板塔结合,3, 1个月以前发布,990000.0,"7,246元/平",房本满五年 
出售三发舜鑫苑133平三室两卫98万免高税车库另算,三发舜鑫苑东区,济阳,3室2厅 ,132.9, 南 北 , 简装 ,7, 板楼,0,4,980000.0,"7,374元/平",
福康小区 2室2厅 南 北,福康小区,济阳,2室2厅 ,107.34, 南 北 , 简装 ,3, 板楼,0,8,2000000.0,"18,633元/平",房本满两年 
精装修 小三室 带家具家电 好楼层 拎包入住,力高未来城,济阳,3室2厅 ,95.0, 南 北 , 精装 ,29, 板楼,1,29,850000.0,"8,948元/平",
盛世瑞城 3室2厅 南 北,盛世瑞城,济阳,3室2厅 ,130.0, 南 北 , 其他 ,8, 板楼,0,10,1110000.0,"8,539元/平",
华鑫现代城 2室2厅 南 北,华鑫现代城,济阳,2室2厅 ,79.0, 南 北 , 其他 ,12, 板塔结合,0,8,390000.0,"4,937元/平",
南北通风格局 楼层好 视野宽阔 采光充足 配套完善,帝华书香苑,济阳,3室2厅 ,126.0, 南 北 , 简装 ,18, 暂无数据,0,3,900000.0,"7,143元/平",随时看房 
禧福凤凰城 3室2厅 南 北,禧福凤凰城,济阳,3室2厅 ,138.7, 南 北 , 精装 ,12, 暂无数据,0,19,1230000.0,"8,869元/平",
四建金海花园 2室2厅 南 北,四建金海花园,济阳,2室2厅 ,92.67, 南 北 , 其他 ,21, 暂无数据,1,13,750000.0,"8,094元/平",
澄波湖壹号 2室2厅 南 北,澄波湖壹号,济阳,2室2厅 ,85.0, 南 北 , 其他 ,23, 暂无数据,0, 1个月以前发布,648000.0,"7,624元/平",房本满两年 
孙耿镇洪永紫荆花园125平三室一卫85万免高税,洪永紫荆花园西区,济阳,3室2厅 ,124.22, 南 北 , 精装 ,22, 板楼,0,17,850000.0,"6,843元/平",房本满两年 
腾骐骏安西区 2室2厅 南 北,腾骐骏安西区,济阳,2室2厅 ,113.96, 南 北 , 其他 ,6, 板楼,0,10,920000.0,"8,074元/平",房本满两年 
华鑫现代城 1室1厅 南,华鑫现代城,济阳,1室1厅 ,41.7, 南 , 其他 ,4, 暂无数据,0,28,360000.0,"8,634元/平",
新世纪阳光花园精装三室 采光充足 视野宽阔 配套齐全,新世纪,济阳,3室2厅 ,125.0, 南 北 , 精装 ,6, 板楼,0, 2个月以前发布,840000.0,"6,720元/平",VR看装修 
澄波湖壹号94.92平67万免高税正常分期,澄波湖壹号,济阳,2室1厅 ,94.92, 南 , 毛坯 ,25, 暂无数据,1, 1个月以前发布,670000.0,"7,059元/平",VR房源 
此房精装修  好楼层 全天采光无忧,帝华幸福苑,济阳,2室2厅 ,92.0, 南 北 , 精装 ,33, 板楼,1, 2个月以前发布,680000.0,"7,392元/平",VR看装修 
出售金湖国际132平三室两厅两卫115万看房方便,金湖国际,济阳,3室2厅 ,131.82, 南 北 , 简装 ,16, 暂无数据,3, 5个月以前发布,1150000.0,"8,725元/平",VR看装修 
帝华幸福苑 带储藏室 好楼层 视野宽阔 采光无忧！,帝华幸福苑,济阳,2室2厅 ,90.0, 南 北 , 精装 ,33, 板楼,7, 一年前发布,620000.0,"6,889元/平",VR看装修 
帝华幸福苑98平66万精装两室带地下车位免高税,帝华幸福苑,济阳,2室2厅 ,97.56, 南 , 精装 ,33, 板楼,2, 2个月以前发布,650000.0,"6,663元/平",VR看装修 
学林苑95平简装两室74万带储藏室好楼层,鸿源学林苑,济阳,2室2厅 ,94.5, 南 北 , 简装 ,22, 暂无数据,0, 2个月以前发布,730000.0,"7,725元/平",VR看装修 
金湖国际145平四室两厅两卫107万免高税,金湖国际,济阳,4室2厅 ,145.0, 南 北 , 毛坯 ,26, 板楼,2, 2个月以前发布,1050000.0,"7,242元/平",VR看装修 
多层房源，空间大，公摊少，一体两户，南北通透格局好,华鑫现代城,济阳,2室2厅 ,83.83, 南 北 , 精装 ,5, 暂无数据,0, 2个月以前发布,520000.0,"6,204元/平",VR看装修 
精装修 免高税 澄波湖一号121平精装三室,澄波湖壹号,济阳,3室2厅 ,121.2, 南 北 , 精装 ,30, 板塔结合,2, 2个月以前发布,950000.0,"7,839元/平",VR看装修 
澄波湖壹号两室精装房 免高税 可分期,澄波湖壹号,济阳,2室2厅 ,92.77, 南 北 , 精装 ,27, 板楼,11, 一年前发布,670000.0,"7,223元/平",VR看装修 
此房精装修两室  拎包入住 楼层好 仅售65万 边户,帝华幸福苑,济阳,2室2厅 ,90.0, 南 北 , 精装 ,33, 板楼,2, 2个月以前发布,650000.0,"7,223元/平",VR看装修 
闻韶佳苑  两室两厅一卫 免高税  东邻植物园 安大广场,闻韶佳苑,济阳,2室2厅 ,80.4, 南 北 , 简装 ,28, 板楼,0, 1个月以前发布,698000.0,"8,682元/平",VR看装修 
三发舜鑫苑东区三室两厅144平95万。,三发舜鑫苑东区,济阳,3室2厅 ,144.0, 南 北 , 精装 ,5, 板楼,3, 一年前发布,870000.0,"6,042元/平",VR看装修 
金海花园精装两室 楼层好 视野宽阔 采光充足,四建金海花园,济阳,2室2厅 ,92.8, 南 北 , 精装 ,25, 暂无数据,1, 1个月以前发布,800000.0,"8,621元/平",VR看装修 
两室两厅一卫，带车位储藏室，免高税,帝华幸福苑,济阳,2室2厅 ,98.0, 南 北 , 精装 ,33, 板楼,0, 10个月以前发布,700000.0,"7,143元/平",VR看装修 
澄波湖95平精装两室76万好楼层免高税,澄波湖壹号,济阳,2室2厅 ,91.18, 南 , 精装 ,31, 暂无数据,0, 3个月以前发布,730000.0,"8,007元/平",VR看装修 
此房免高税  中等装修  全天采光,四建金海花园,济阳,3室2厅 ,106.0, 南 北 , 简装 ,25, 暂无数据,2, 2个月以前发布,860000.0,"8,114元/平",VR看装修 
闻韶苑132.51平精装三室价格面议免高税车库另算,闻韶苑,济阳,3室2厅 ,132.51, 南 北 , 精装 ,7, 板楼,4, 1个月以前发布,1080000.0,"8,151元/平",VR看装修 
三发小区  三室两厅一卫 诚心出售  价格可议,三发舜鑫苑西区,济阳,3室2厅 ,105.5, 南 北 , 精装 ,7, 板楼,2, 2个月以前发布,720000.0,"6,825元/平",VR看装修 
出售禧福凤凰城91平73万免高税带储藏室好楼层,禧福凤凰城,济阳,2室1厅 ,90.76, 南 , 毛坯 ,28, 暂无数据,2, 2个月以前发布,725000.0,"7,989元/平",VR看装修 
城市之星南北通透 精装修三室 采光无忧 正常首付,祥生·城市之星,济阳,3室2厅 ,114.31, 北 南 , 精装 ,25, 暂无数据,2, 5个月以前发布,870000.0,"7,611元/平",VR看装修 
