七里山设计院单位宿舍，一楼带院子，小区安静优美,七里山路53号,七里山,3室2厅 ,124.91, 南 北 , 简装 ,6, 板楼,39, 10个月以前发布,2200000.0,"17,613元/平",VR房源 房本满五年 随时看房 
配套齐，生活方便，房子户型好用.,兴济河小区四区,玉函,3室2厅 ,87.01, 南 北 , 毛坯 ,7, 板楼,14, 一年前发布,1050000.0,"12,068元/平",VR看装修 房本满五年 随时看房 
岔路街省农行宿舍 三室 地下室 实际产权面积124.2平,纬五路79号,岔路街,3室2厅 ,124.2, 南 北 , 简装 ,6, 板楼,35, 一年前发布,2116000.0,"17,038元/平",VR看装修 房本满五年 随时看房 
南北通透。精装三室，交通便利，环境优美,宏瑞国际星城,白马山,3室1厅 ,91.7, 南 北 , 精装 ,11, 板楼,45, 10个月以前发布,1350000.0,"14,722元/平",VR看装修 房本满五年 随时看房 
带车位地下室，顶层安静，低于同户型成交价五六十万！,银丰花园,十六里河,3室2厅 ,162.95, 南 北 , 精装 ,18, 板楼,89, 9个月以前发布,3000000.0,"18,411元/平",VR看装修 房本满两年 随时看房 
此房视野开阔，采光充足，有钥匙看房方便！,外海蝶泉山庄,二环南路,3室2厅 ,134.32, 南 北 , 精装 ,11, 板楼,28, 2个月以前发布,2090000.0,"15,560元/平",VR房源 房本满两年 随时看房 
温馨两居 两室朝阳 南北通风好 楼间距大 采光好 公摊,铁路南苑小区,二环南路,2室2厅 ,106.33, 南 北 , 简装 ,6, 板楼,8, 一年前发布,1400000.0,"13,167元/平",VR看装修 房本满五年 随时看房 
八里洼路15号 2室2厅 南 北,八里洼路15号,伟东,2室2厅 ,98.16, 南 北 , 简装 ,6, 板楼,23, 11个月以前发布,1600000.0,"16,300元/平",VR看装修 房本满五年 随时看房 
领秀城商圈 铁路单位宿舍 证过多年 业主诚心出售,铁路南苑小区,二环南路,3室2厅 ,117.64, 南 , 简装 ,6, 板楼,21, 5个月以前发布,1780000.0,"15,131元/平",VR看装修 房本满五年 随时看房 
一梯两户南北通透，采光充足，有20平地下室,金山花园,二七新村,3室2厅 ,137.11, 南 北 , 简装 ,7, 板楼,25, 8个月以前发布,1900000.0,"13,858元/平",VR看装修 房本满五年 随时看房 
南北通透 车位地下室  中高楼层  采光足,鲁能领秀城中央公园,领秀城,3室1厅 ,147.41, 南 北 , 精装 ,33, 板楼,28, 2个月以前发布,3590000.0,"24,354元/平",VR看装修 房本满五年 随时看房 
着急置换，卧龙花园距离學校10米，两室朝阳，带地下室,卧龙花园二区,泉景卧龙区,2室2厅 ,100.42, 南 北 , 简装 ,6, 板楼,7, 5个月以前发布,2290000.0,"22,805元/平",VR看装修 房本满两年 随时看房 
中海国际A3精装两居室  满五唯一  带地下室 视野开阔,中海国际熙岸西区,二环南路,2室2厅 ,87.14, 南 , 精装 ,33, 板楼,17, 2个月以前发布,1497000.0,"17,180元/平",VR看装修 房本满五年 随时看房 
全天采光  毛坯房自己按喜欢装修   全明户型,绿地国际城,二环南路,3室2厅 ,115.68, 东南 , 毛坯 ,26, 板楼,21, 8个月以前发布,1500000.0,"12,967元/平",VR看装修 房本满两年 随时看房 
福景佳苑一期 4室2厅 南 北,福景佳苑一期,二环南路,4室2厅 ,185.35, 南 北 , 毛坯 ,11, 板楼,17, 8个月以前发布,3500000.0,"18,884元/平",VR看装修 房本满两年 随时看房 
可装电梯，精装四楼，有地下室，有车位，证满五年,卧龙花园二区,泉景卧龙区,3室1厅 ,126.0, 南 北 , 简装 ,6, 板楼,29, 3个月以前发布,2750000.0,"21,826元/平",VR看装修 房本满五年 随时看房 
诚心出售60W精装 南北通透 采光好视野好 家电可协商,三箭如意苑,建设路,3室2厅 ,160.34, 南 北 , 精装 ,11, 板楼,57, 1个月以前发布,3150000.0,"19,646元/平",VR看装修 房本满五年 随时看房 
中海国际大平层 南北通透四居室   人车分流 地暖社区,中海国际尚湖央邸,二环南路,4室2厅 ,196.13, 南 北 , 毛坯 ,17, 板楼,95, 一年前发布,3800000.0,"19,375元/平",VR看装修 房本满五年 随时看房 
玉函路单位宿舍 一楼带小院 三室朝阳 诚心出售,玉函路58号,舜玉区,4室2厅 ,116.09, 南 北 , 简装 ,5, 板楼,123, 一年前发布,1900000.0,"16,367元/平",VR房源 房本满五年 随时看房 
新上阳光舜城十三区 四室房源   房主诚心出售,阳光舜城中区十三区,阳光舜城,4室2厅 ,193.27, 南 , 精装 ,8, 板楼,106, 一年前发布,2660000.0,"13,764元/平",VR房源 房本满五年 随时看房 
三室全明户型+满两年+随时看房,宏瑞国际星城,白马山,3室2厅 ,110.75, 南 北 , 简装 ,27, 板楼,93, 一年前发布,1220000.0,"11,016元/平",VR看装修 房本满两年 随时看房 
七里山路21号，刑警宿舍，单独大院，1楼带院30平,七里山路21号,七里山,2室2厅 ,91.1, 南 北 , 简装 ,5, 板楼,27, 7个月以前发布,1580000.0,"17,344元/平",VR房源 房本满两年 随时看房 
二楼，南北通透，布局合理，公摊小，带地下室16平,山景嘉园,郎茂山,3室2厅 ,116.61, 南 北 , 简装 ,7, 板楼,18, 1个月以前发布,1780000.0,"15,265元/平",VR看装修 房本满五年 随时看房 
世茂原山首府三居室+毛坯未住+带地下室+随时看房,世茂原山首府,白马山,3室2厅 ,105.17, 南 北 , 毛坯 ,31, 板楼,25, 2个月以前发布,1580000.0,"15,024元/平",VR看装修 房本满两年 随时看房 
南北通透四居室 户型方正 前无遮挡 视野开阔 采光充足,鲁能领秀城F区,领秀城,4室1厅 ,158.05, 南 北 , 精装 ,11, 板楼,77, 一年前发布,3980000.0,"25,182元/平",VR看装修 房本满两年 随时看房 
正规三居室+采光好+含产权地下室19.87m²+车位另算,世茂原山首府,白马山,3室2厅 ,95.97, 北 南 , 简装 ,32, 板楼,49, 4个月以前发布,1420000.0,"14,797元/平",VR看装修 房本满两年 随时看房 
二环南  胜利大街分校 有证可贷 带车位地下室 观景房,绿地国际城,二环南路,3室2厅 ,122.8, 南 北 , 毛坯 ,25, 板楼,27, 一年前发布,1649000.0,"13,429元/平",VR看装修 房本满两年 随时看房 
业主诚意出售，有车位带地下室，小区环境好，绿化高,福景佳苑一期,二环南路,3室2厅 ,129.12, 南 北 , 毛坯 ,18, 板楼,19, 2个月以前发布,2350000.0,"18,201元/平",VR看装修 房本满两年 随时看房 
泉景天沅秀园+南向全明户型大三室+带地下室有车位,泉景天沅,泉景卧龙区,3室1厅 ,137.16, 南 , 精装 ,22, 板楼,58, 一年前发布,3300000.0,"24,060元/平",VR看装修 房本满五年 随时看房 
省立医院+火车站+西市场+发祥巷+经典两室+带地下,发祥巷小区,火车站,2室2厅 ,96.71, 南 北 , 精装 ,23, 板楼,7,19,1698000.0,"17,558元/平",VR房源 房本满五年 
满两年很干净，一梯两户，公摊小，客厅和三室朝南,中海国际御峰官邸,二环南路,4室2厅 ,170.41, 南 , 精装 ,11, 板楼,24,30,2980000.0,"17,488元/平",VR房源 房本满两年 
精装带地下室 10层以上视野 全屋光线 业主用钱周转,鲁能领秀公馆,领秀城,3室1厅 ,120.14, 南 北 , 精装 ,18, 板楼,15,27,2650000.0,"22,058元/平",VR看装修 房本满两年 
精装朋友房  带电梯 直接入住 钥匙房  诚心出,乐山小区,南上山街,1室1厅 ,46.31, 南 , 精装 ,7, 板楼,8,30,1095000.0,"23,646元/平",VR看装修 房本满五年 随时看房 
此房满五唯一，视野宽阔，采光时间长,鲁能领秀城中央公园,领秀城,2室2厅 ,88.87, 南 北 , 精装 ,33, 板楼,9,26,2290000.0,"25,768元/平",VR看装修 房本满五年 随时看房 
胜利街 无记录 两居室 低楼层 配套齐 诚意售,得胜南街,胜利大街,2室1厅 ,53.46, 南 北 , 简装 ,7, 板楼,4,17,2150000.0,"40,217元/平",VR看装修 房本满五年 随时看房 
南上山街  无记录  双气 钥匙房  采光好 诚心出售,纬一路209到243号,南上山街,1室1厅 ,37.42, 南 , 简装 ,7, 板楼,0,12,1520000.0,"40,620元/平",VR看装修 房本满五年 随时看房 
业主急售 新华书店宿舍 三居低楼层 双气 即买即用,山东省新华书店宿舍,胜利大街,3室0厅 ,76.63, 南 北 , 简装 ,5, 板楼,5,25,2750000.0,"35,887元/平",VR看装修 房本满五年 
精装修，采光好，前无遮挡，北面环宇城，诚意出售。,中海国际熙岸东区,二环南路,2室2厅 ,89.0, 南 , 精装 ,29, 板楼,1,24,1510000.0,"16,967元/平",VR看装修 房本满两年 
公园世家 科技住宅  精装修 采光好 视野好 车位地下室,鲁能领秀城公园世家,领秀城,3室2厅 ,140.43, 南 北 , 精装 ,17, 板楼,11,26,4200000.0,"29,909元/平",VR看装修 房本满两年 
单位宿舍 花园小区 24小时热水 视野好,英雄山路155-2号,七里山,3室2厅 ,158.76, 南 , 简装 ,19, 板楼,5,20,2580000.0,"16,251元/平",VR房源 房本满五年 
阳光舜城 封闭式小区 电梯四居室 户型方正南北通透,阳光舜城中区三区,阳光舜城,4室2厅 ,149.12, 南 北 , 精装 ,6, 板楼,4,8,2900000.0,"19,448元/平",VR房源 房本满两年 
白金瀚宫 大三居 有地下室 有车位 随时看房,伟东白金瀚宫三期,伟东,3室2厅 ,161.42, 南 北 , 简装 ,12, 板楼,20,28,3090000.0,"19,143元/平",VR看装修 随时看房 
南北通透 楼层好 视野棒 采光充足 交通便利,中海国际御峰官邸,二环南路,3室1厅 ,108.03, 南 北 , 毛坯 ,18, 板楼,12, 4个月以前发布,1950000.0,"18,051元/平",VR看装修 房本满两年 随时看房 
梁庄四街，南北通透，2居室，业主诚心出售！,梁庄四街,二七新村,2室1厅 ,53.69, 南 北 , 精装 ,6, 板楼,7, 11个月以前发布,600000.0,"11,176元/平",VR看装修 房本满两年 随时看房 
南北通透精装三居室 带地下室 格局方正,鲁能领秀城中央公园,领秀城,3室2厅 ,137.38, 南 北 , 精装 ,33, 板楼,50, 10个月以前发布,3400000.0,"24,749元/平",VR看装修 房本满五年 随时看房 
中海靠山两居  有证 房本满二  带车位  即买即住,中海国际御峰官邸,二环南路,2室1厅 ,92.34, 南 , 精装 ,18, 板楼,9, 1个月以前发布,1370000.0,"14,837元/平",VR看装修 房本满两年 随时看房 
此房满两年，毛坯房，凤凰楼层，房主诚心出售,华润紫云府,兴隆,3室2厅 ,113.0, 南 , 毛坯 ,18, 板楼,21, 2个月以前发布,2120000.0,"18,762元/平",VR看装修 房本满两年 随时看房 
中海 A2 小高层 南向 全天采光 山景房 有地下室,中海国际熙岸东区,二环南路,2室2厅 ,85.07, 南 , 毛坯 ,18, 板楼,30, 一年前发布,1520000.0,"17,868元/平",VR看装修 房本满五年 随时看房 
满五唯一带车位 精致两室  两室朝阳  采光好 价格美丽,鲁能领秀城中央公园,领秀城,2室2厅 ,96.67, 南 , 精装 ,24, 板楼,11, 7个月以前发布,2400000.0,"24,827元/平",VR看装修 房本满五年 随时看房 
钻石楼层··环境优美·出行方便,华润紫云府,兴隆,3室1厅 ,98.26, 南 北 , 毛坯 ,18, 板楼,18, 7个月以前发布,1640000.0,"16,691元/平",VR看装修 房本满两年 随时看房 
大三室，两室朝阳，户型方正，采光好,华润紫云府,兴隆,3室2厅 ,134.1, 南 , 毛坯 ,18, 板楼,13, 8个月以前发布,2460000.0,"18,345元/平",VR看装修 房本满两年 随时看房 
视野开阔 满五唯一 停车方便 出行便利 配套设施成熟,宏瑞国际星城,白马山,3室2厅 ,110.06, 南 北 , 精装 ,27, 板楼,22, 11个月以前发布,1250000.0,"11,358元/平",VR看装修 房本满五年 随时看房 
华润央企，品牌物业，楼层好，视野开阔,华润紫云府,兴隆,4室2厅 ,159.39, 南 北 , 毛坯 ,18, 板楼,16, 一年前发布,3100000.0,"19,450元/平",VR房源 房本满两年 随时看房 
二楼二轻厅单位宿舍 双气 南北通透 业主换房诚心出售,英雄山路90到92号,七里山,3室1厅 ,94.1, 南 北 , 简装 ,5, 板楼,19, 3个月以前发布,1270000.0,"13,497元/平",VR看装修 房本满两年 随时看房 
领秀城三室  带装修    看房方便    方便出行,鲁能领秀城D区,领秀城,3室1厅 ,140.36, 南 北 , 简装 ,16, 板楼,27, 4个月以前发布,3100000.0,"22,087元/平",VR看装修 房本满五年 随时看房 
诚售 花园洋房 顶楼 带80平露台  业主诚售 随时看房,漫山香墅天麓东一区,领秀城,3室1厅 ,141.43, 南 北 , 毛坯 ,5, 板楼,31, 4个月以前发布,5200000.0,"36,768元/平",VR房源 房本满两年 随时看房 
鲁能领秀城UP区   户型房正   好楼层   诚意出售,鲁能领秀城UP街区,领秀城,2室1厅 ,98.07, 南 , 简装 ,25, 板楼,26, 9个月以前发布,2450000.0,"24,983元/平",VR看装修 房本满两年 随时看房 
如意苑一期，上下复式双阳台，动静分离，有装修,三箭如意苑,建设路,3室2厅 ,126.36, 南 , 精装 ,11, 板楼,235, 一年前发布,2130000.0,"16,857元/平",VR房源 房本满五年 随时看房 
汇统花园南北通透+小高层+总价低+户型方正+带地下室,汇统花园,建设路,3室2厅 ,118.63, 南 北 , 简装 ,11, 板楼,53, 7个月以前发布,1980000.0,"16,691元/平",VR看装修 房本满五年 随时看房 
伟东新都一区三室精装修急售好房!,伟东新都一区,伟东,3室2厅 ,157.28, 南 北 , 精装 ,11, 板楼,92, 6个月以前发布,3050000.0,"19,393元/平",VR房源 房本满五年 随时看房 
建设路西 三室两厅 低楼层 双气 大院好停车 有地下室,长汇园小区,建设路,3室2厅 ,125.0, 南 北 , 简装 ,6, 板楼,16, 3个月以前发布,1870000.0,"14,960元/平",VR看装修 房本满五年 随时看房 
建设路  单位宿舍  交通便利 停车方便 大院传达,鸿建花园,建设路,2室1厅 ,94.34, 南 , 精装 ,6, 板楼,35, 一年前发布,1590000.0,"16,854元/平",VR看装修 房本满五年 随时看房 
中海国际御峰官邸 精装修 一梯两户 11层洋房 带地下室,中海国际御峰官邸,二环南路,3室2厅 ,125.41, 南 北 , 精装 ,11, 板楼,128, 10个月以前发布,2380000.0,"18,978元/平",VR看装修 房本满两年 随时看房 
紫云府精装3居未住 有车位 留固定装修 证满2年 采光足,华润紫云府,兴隆,3室2厅 ,134.11, 南 北 , 精装 ,18, 板楼,28, 10个月以前发布,2730000.0,"20,357元/平",VR看装修 房本满两年 随时看房 
位置优越 交通便利 停车方便 小区环境优雅,铁路玉函二区,玉函,2室2厅 ,65.1, 南 北 , 其他 ,6, 板楼,18,29,670000.0,"10,292元/平",VR房源 房本满五年 随时看房 
无上学记录  满五唯一  价格低廉 就是楼层高点  非顶,林祥南街,胜利大街,2室1厅 ,53.27, 南 北 , 简装 ,7, 板楼,5,17,1780000.0,"33,415元/平",VR看装修 房本满五年 随时看房 
六里山南路 2室1厅 南 北,六里山南路,六里山区,2室1厅 ,51.18, 南 北 , 简装 ,6, 板楼,4,16,590000.0,"11,528元/平",VR看装修 房本满两年 随时看房 
民族大街5号 2室0厅 南,民族大街5号,胜利大街,2室0厅 ,45.18, 南 , 简装 ,5, 板楼,8,30,530000.0,"11,731元/平",VR看装修 房本满两年 随时看房 
别墅区总高6层花园洋房，带地下室，电梯入户一梯两户,中海国际铂宫别墅,二环南路,4室2厅 ,163.42, 南 , 毛坯 ,6, 板楼,19,14,3500000.0,"21,418元/平",VR房源 
建设路世纪佳园 南北通透精装修 客厅主卧朝南采光好,世纪佳园,建设路,3室2厅 ,142.05, 南 北 , 精装 ,11, 板楼,79, 一年前发布,2320000.0,"16,333元/平",VR看装修 房本满五年 
山大兴隆校区，复式结构，精装，停车免费。,南山小区,兴隆,4室2厅 ,153.78, 南 北 , 精装 ,4, 暂无数据,43, 一年前发布,2460000.0,"15,997元/平",VR房源 房本满两年 
好楼层 位置佳 装修好 满二 一梯两户 得房率高,中海国际社区,二环南路,3室2厅 ,95.12, 南 北 , 精装 ,11, 板楼,44, 4个月以前发布,1840000.0,"19,344元/平",VR看装修 房本满两年 
此房精装修，位置安静，诚意出售。,中海国际熙岸西区,二环南路,3室2厅 ,107.21, 南 北 , 精装 ,33, 板楼,10,31,1780000.0,"16,603元/平",VR看装修 房本满五年 
经五路 小纬四路 双气 低楼层   正规两室一厅,小纬四路,经五路,2室1厅 ,54.29, 西 东 , 精装 ,6, 板楼,2,6,1880000.0,"34,629元/平",VR看装修 房本满五年 随时看房 
中海国际社区 3房2厅 南北通透 钥匙房 诚意出售,中海国际熙岸西区,二环南路,3室2厅 ,107.16, 南 北 , 精装 ,32, 板楼,9,18,1800000.0,"16,798元/平",VR看装修 房本满五年 随时看房 
不看可惜！zhun电梯房！精装修四室带车位地下室,卧龙花园二区,泉景卧龙区,4室2厅 ,188.33, 南 北 , 简装 ,6, 板楼,30, 5个月以前发布,2700000.0,"14,337元/平",VR房源 房本满五年 随时看房 
中海国际御峰官邸  精装修三室 南北通透  好楼层,中海国际御峰官邸,二环南路,3室2厅 ,130.17, 南 北 , 精装 ,26, 板楼,3,5,2320000.0,"17,823元/平",VR看装修 房本满两年 
稀有带楼台小洋房  精装修未住  南北通透 采光好,福景佳苑2期,二环南路,2室1厅 ,96.5, 南 北 , 精装 ,11, 板楼,8,13,1916000.0,"19,855元/平",VR看装修 房本满两年 
舜耕路+济大路+财政厅宿舍+大三居带地下室+采光通透好,济大路1号,舜玉区,3室2厅 ,143.86, 南 , 精装 ,5, 板楼,5,12,3350000.0,"23,287元/平",VR看装修 房本满五年 随时看房 
一梯两户 免高税带地下室 车位另算子母车位 中楼层,宏瑞国际星城,白马山,3室2厅 ,92.39, 南 北 , 精装 ,11, 板楼,11,15,1320000.0,"14,288元/平",VR看装修 房本满五年 
大学仕花园南北通透+两室朝阳大客厅采光无遮挡,大学仕花园,二环南路,3室2厅 ,115.31, 南 北 , 简装 ,18, 板楼,10,11,1490000.0,"12,922元/平",VR房源 房本满五年 
泉景，南北通透，小三室，证过五年，精装，带地下室！,泉景天沅,泉景卧龙区,3室2厅 ,110.29, 南 北 , 精装 ,18, 板楼,8,14,3200000.0,"29,015元/平",VR看装修 房本满五年 
市中区王官庄新三区+双气+产权地下室+中间楼层+急售房,王官庄小区三区,王官庄,3室1厅 ,104.2, 南 北 , 精装 ,6, 板楼,4,9,1370000.0,"13,148元/平",VR房源 房本满五年 
卧龙花园3室朝阳，边户带窗，可丄泉景。,卧龙花园二区,泉景卧龙区,3室2厅 ,112.8, 南 北 , 简装 ,6, 板楼,9,9,2600000.0,"23,050元/平",VR看装修 房本满五年 
中海国际熙岸西区 3室2厅 南 北,中海国际熙岸西区,二环南路,3室2厅 ,106.53, 南 北 , 精装 ,24, 板楼,9,19,1900000.0,"17,836元/平",VR看装修 房本满五年 随时看房 
二环内  小三室，诚意卖  有证满二  看房方便,宏瑞国际星城,白马山,3室2厅 ,90.88, 南 北 , 简装 ,11, 板楼,4,28,1290000.0,"14,195元/平",VR看装修 房本满两年 随时看房 
千米无遮挡！观山景！中式装修！诚意出售！带地下室！,中海国际御山华府东区,二环南路,3室2厅 ,105.24, 南 北 , 精装 ,30, 板楼,23,18,1870000.0,"17,769元/平",VR看装修 房本满五年 随时看房 
领秀城 精装三居室 你的理想房源,鲁能领秀城E区,领秀城,3室2厅 ,135.36, 南 北 , 精装 ,18, 板楼,26,25,3050000.0,"22,533元/平",VR看装修 房本满五年 随时看房 
紫云府3居眼镜房 毛坯房带车位 证满2年 中楼层视野好,华润紫云府,兴隆,3室2厅 ,114.01, 南 北 , 毛坯 ,18, 板楼,8,30,2130000.0,"18,683元/平",VR看装修 房本满两年 随时看房 
带露台+产权地下室两个+有产权车位+无抵押无贷款,峰景鉴筑,郎茂山,4室2厅 ,156.75, 南 , 精装 ,19, 板楼,8,29,2220000.0,"14,163元/平",VR看装修 房本满五年 随时看房 
急售房源，采光充足，视野开阔，诚意出售,世茂原山首府,白马山,3室2厅 ,122.19, 南 北 , 简装 ,34, 板楼,2,31,1890000.0,"15,468元/平",VR看装修 房本满两年 
高楼层，采光视野好，一梯两户，鲁能物业,鲁能领秀公馆,领秀城,3室2厅 ,93.54, 南 北 , 简装 ,18, 板楼,11,26,1890000.0,"20,206元/平",VR看装修 房本满两年 
满五唯一免个税，精装修三室朝阳，南北通透,卧龙花园二区,泉景卧龙区,3室2厅 ,119.51, 南 北 , 精装 ,6, 板楼,18,20,2770000.0,"23,178元/平",VR看装修 房本满五年 
济大 校园内 低楼层 三室  精装修  环境好 位置安静,济南大学教职工单位宿舍,济南大学,3室1厅 ,80.92, 南 北 , 精装 ,6, 暂无数据,2,14,1380000.0,"17,054元/平",VR看装修 房本满五年 
经五路 无记录 大院传达 能停车 低楼层 双气,经六路（市中区）,经五路,2室2厅 ,68.8, 南 北 , 精装 ,6, 板楼,4,4,2100000.0,"30,524元/平",VR房源 房本满两年 
采光全天无遮挡 客厅落地大窗户 采光视野好,外海蝶泉山庄,二环南路,3室2厅 ,144.19, 南 北 , 其他 ,11, 板楼,8,13,2380000.0,"16,506元/平",VR房源 房本满五年 
英雄山路西临，赤霞广场旁边，1楼适合老人居住,梁庄二街,二七新村,2室0厅 ,49.13, 南 , 简装 ,5, 板楼,1,12,700000.0,"14,248元/平",VR房源 房本满五年 随时看房 
此房带地下室，精装修，看房方便，业主诚意出售,鲁能领秀城UP街区,领秀城,2室2厅 ,97.75, 南 北 , 精装 ,25, 板楼,7,14,2490000.0,"25,474元/平",VR看装修 房本满五年 随时看房 
卧龙花园全明户型两居室，卫生间带窗户，有地下室车位,卧龙花园三区,泉景卧龙区,2室2厅 ,87.37, 北 南 , 精装 ,6, 板楼,3,14,2250000.0,"25,753元/平",VR看装修 房本满五年 
世茂原山精装两室 免高税 采光好 即买即住 拎包入住,世茂原山首府,白马山,2室1厅 ,86.22, 南 , 精装 ,32, 板楼,15,8,1280000.0,"14,846元/平",VR看装修 房本满两年 
王官庄九区+一梯2户，业主诚心出售+南北通透,王官庄九区,白马山,2室1厅 ,60.93, 南 北 , 简装 ,6, 板楼,1,8,840000.0,"13,787元/平",VR看装修 房本满五年 
精装满二   带地下室  诚心卖 楼前花园 视野采光好,中海国际御峰官邸,二环南路,2室2厅 ,94.33, 南 北 , 精装 ,22, 板楼,4,13,1500000.0,"15,902元/平",VR看装修 房本满两年 
城建学院的单位房改房，三居室一楼带院 带小房,舜耕路9号,舜玉区,3室1厅 ,83.21, 南 北 , 精装 ,6, 板楼,18,14,2000000.0,"24,036元/平",VR房源 房本满五年 
