恒大世纪广场  精装修   看房方便  业主诚心出售,恒大世纪广场,西客站,3室1厅 ,109.0, 南 北 , 精装 ,27, 板楼,2,11,1550000.0,"14,221元/平",VR看装修 随时看房 
采光好，楼层好，精装修，大两室,外海中央花园一期,腊山,2室1厅 ,94.79, 南 北 , 简装 ,11, 板楼,11, 10个月以前发布,1400000.0,"14,770元/平",VR看装修 房本满五年 随时看房 
此房精装两室，从未住过，马上满两年,恒大金碧新城,西客站,2室1厅 ,87.13, 南 , 精装 ,32, 板楼,5, 5个月以前发布,1200000.0,"13,773元/平",VR看装修 房本满两年 随时看房 
诚心出售+精装+透亮+满二+交通方便+印象济南,海亮艺术华府,西客站,2室1厅 ,84.45, 南 , 精装 ,24, 板楼,3, 3个月以前发布,1180000.0,"13,973元/平",VR房源 房本满两年 随时看房 
此房格局好，南向，好楼层，阳光充足,梦世界润园,世购,3室2厅 ,92.78, 北 南 , 精装 ,33, 板楼,9, 3个月以前发布,1420000.0,"15,306元/平",VR看装修 房本满两年 随时看房 
精装两居室 拎包入住 交通便利 采光好,海亮艺术华府,西客站,2室1厅 ,86.48, 南 , 精装 ,26, 板楼,10, 7个月以前发布,1220000.0,"14,108元/平",VR看装修 房本满两年 随时看房 
小区绿化好 物业管理严格人车分流,恒大雅苑,西客站,2室2厅 ,92.55, 南 , 精装 ,31, 板楼,25, 一年前发布,1190000.0,"12,858元/平",近地铁 VR看装修 房本满两年 随时看房 
前无遮挡+免高税+精装+随时看房+无抵押有车位,荣宝御园,西客站,2室2厅 ,96.49, 南 , 精装 ,24, 板楼,108, 一年前发布,1080000.0,"11,193元/平",近地铁 VR看装修 房本满两年 随时看房 
精装修，视野宽阔，采光充足，满两年,恒大雅苑,西客站,2室2厅 ,97.25, 南 , 精装 ,33, 板楼,30, 3个月以前发布,1230000.0,"12,648元/平",近地铁 VR看装修 房本满两年 随时看房 
产权清晰 户型方正 楼前无遮挡采光好,德裕家园一区,西市场,3室2厅 ,109.9, 东 , 毛坯 ,30, 塔楼,39, 9个月以前发布,1380000.0,"12,557元/平",VR看装修 房本满两年 随时看房 
此房楼层好，有地下室，采光充足，视野开阔，格局好,香桔市,营市街,2室1厅 ,73.42, 南 北 , 简装 ,11, 板楼,7,19,950000.0,"12,940元/平",VR看装修 房本满五年 随时看房 
封闭社区，龙湖物业，客厅卧室朝阳的实用三居，业主诚,龙湖水晶郦城,西客站,3室2厅 ,116.08, 南 , 精装 ,33, 板楼,4,12,1900000.0,"16,369元/平",VR看装修 
龙湖洋房全明户型 精装修有车位,龙湖水晶郦城,西客站,3室2厅 ,115.31, 南 , 精装 ,13, 板楼,40, 9个月以前发布,2080000.0,"18,039元/平",VR看装修 房本满两年 
恒大翡翠华庭，精装修，四室两厅两卫，看房方便,恒大翡翠华庭,西客站,4室2厅 ,166.01, 南 北 , 精装 ,24, 板楼,18, 3个月以前发布,2290000.0,"13,795元/平",VR看装修 房本满两年 
鑫苑世家公馆精装四室诚意出售 ，全明户型,鑫苑世家公馆,西客站,4室1厅 ,111.21, 南 , 精装 ,33, 板楼,7, 2个月以前发布,1820000.0,"16,366元/平",VR看装修 房本满两年 
刘长山路 绿地国际花都 两室朝阳 满五唯一 有车位单算,绿地国际花都,腊山,2室2厅 ,85.4, 南 , 简装 ,29, 板楼,12,11,949000.0,"11,113元/平",近地铁 VR看装修 房本满五年 随时看房 
新上两室朝阳好房 价格优美，诚心出售,吉尔北苑,南辛庄,2室1厅 ,55.39, 南 , 简装 ,5, 板楼,8,5,870000.0,"15,707元/平",VR看装修 房本满五年 随时看房 
采光好无遮挡，满两年免高税，配套齐交通便利。,绿地中央广场四区,西客站,3室2厅 ,134.76, 南 北 , 精装 ,32, 板楼,12,12,1699000.0,"12,608元/平",近地铁 VR看装修 房本满两年 
店长力荐 中间楼层 精装修 证满两年 眼镜户型,龙湖水晶郦城,西客站,3室2厅 ,130.65, 南 北 , 精装 ,11, 板楼,4,6,2420000.0,"18,523元/平",VR看装修 随时看房 
楼层好 户型方正 交房从未入住 有钥匙 随时可以看房,鑫苑世家公馆,西客站,3室2厅 ,119.94, 南 北 , 毛坯 ,31, 板楼,1,29,1890000.0,"15,758元/平",VR看装修 房本满两年 随时看房 
南北通透格局，卧室，客厅活动空间大，精装修。,新世界阳光花园东区,和谐广场,3室2厅 ,158.42, 南 北 , 精装 ,6, 板楼,18,21,3280000.0,"20,705元/平",VR房源 房本满五年 随时看房 
精装大3室 小高层低公摊 中高楼层采光视野好,西城济水上苑,西客站,3室2厅 ,142.33, 南 , 精装 ,18, 板楼,7,10,2000000.0,"14,052元/平",VR房源 房本满两年 随时看房 
两室朝南 中间楼层 精装修 适宜过渡,经三路46到316号,西市场,2室0厅 ,55.85, 南 , 精装 ,7, 板楼,9,7,680000.0,"12,176元/平",VR看装修 房本满五年 
印象济南旁、通风好，业主着急卖看房，视野采光好,中建锦绣城,西客站,2室1厅 ,85.84, 南 , 其他 ,27, 板楼,6,7,1120000.0,"13,048元/平",VR看装修 房本满两年 
经典三居 全屋精装修 品质物业  南边公园负氧离子高,万科公园里,匡山区,3室1厅 ,93.46, 南 北 , 精装 ,32, 板楼,9,10,1620000.0,"17,334元/平",VR看装修 房本满两年 
恒大精装 总高15层小高 满两年 南北通透三居室,恒大雅苑,西客站,3室2厅 ,109.05, 南 北 , 精装 ,15, 板楼,11,15,1430000.0,"13,114元/平",近地铁 VR看装修 房本满两年 
此房满五唯一，精装修三室，楼层好采光充足,鑫苑世家公馆,西客站,3室2厅 ,91.7, 南 北 , 精装 ,33, 板楼,25,11,1450000.0,"15,813元/平",VR看装修 房本满五年 
店长力荐 业主急售 此房前无遮挡 采光巨好 不临街。,中建锦绣城,西客站,2室2厅 ,91.04, 南 , 简装 ,30, 板楼,4,10,1090000.0,"11,973元/平",VR房源 房本满两年 
华庭一期  采光充足交通便利配套设施完善 满二 诚心卖,恒大翡翠华庭,西客站,4室1厅 ,164.16, 南 , 精装 ,30, 板楼,16, 1个月以前发布,2370000.0,"14,438元/平",VR看装修 房本满两年 随时看房 
"此房格局好，好楼层，阳光充足,带地下室",梦世界润园,世购,3室2厅 ,93.15, 南 , 精装 ,33, 板楼,18, 9个月以前发布,1470000.0,"15,781元/平",VR看装修 房本满两年 随时看房 
满五唯一 锦绣城三居 前无遮挡 采光好 视野开阔,中建锦绣城,西客站,3室2厅 ,118.43, 南 , 简装 ,27, 板楼,10, 6个月以前发布,1580000.0,"13,342元/平",VR看装修 房本满五年 随时看房 
锦绣城 好楼层 视野好 证满两年 有钥匙看房方便 急售,中建锦绣城,西客站,3室2厅 ,109.59, 南 北 , 精装 ,32, 板楼,48, 4个月以前发布,1480000.0,"13,505元/平",近地铁 VR房源 房本满两年 随时看房 
和谐旁 两室 全明户型 便宜卖,振兴街小区,和谐广场,2室2厅 ,105.58, 南 北 , 精装 ,7, 板楼,13, 1个月以前发布,1160000.0,"10,987元/平",VR房源 房本满五年 随时看房 
中间楼层全明户型免增值税三室便宜中间楼层,丰润怡邻居,南辛庄,3室2厅 ,101.53, 南 北 , 简装 ,11, 板塔结合,61, 一年前发布,1560000.0,"15,365元/平",VR看装修 房本满五年 随时看房 
绿地国际花都  满五唯一  南北通透三室  好楼层,绿地国际花都,腊山,3室2厅 ,104.97, 南 北 , 毛坯 ,29, 板楼,25, 1个月以前发布,1358000.0,"12,938元/平",近地铁 VR房源 房本满五年 随时看房 
中间楼层和谐广场省立医院旁大两室，可当三室业主婚房,振兴街小区,和谐广场,2室2厅 ,105.58, 南 北 , 精装 ,7, 板楼,27, 4个月以前发布,1200000.0,"11,366元/平",VR看装修 房本满两年 随时看房 
三室边户  此房有车位地下室 采光好,鑫苑世家公馆,西客站,3室1厅 ,119.36, 南 , 简装 ,29, 板楼,21, 一年前发布,1850000.0,"15,500元/平",VR看装修 房本满两年 随时看房 
济南西客站  小三室 毛坯房 采光好,金科城,西客站,3室2厅 ,95.38, 南 北 , 毛坯 ,27, 板楼,29, 7个月以前发布,1250000.0,"13,106元/平",VR看装修 房本满两年 随时看房 
绿地国际花都 精装修 三居室 南北通透 采光视野好,绿地国际花都,腊山,3室1厅 ,104.71, 南 北 , 精装 ,30, 板楼,7, 2个月以前发布,1390000.0,"13,275元/平",近地铁 VR看装修 房本满五年 随时看房 
封闭社区龙湖物业，两室客厅朝阳的实用三居室,龙湖水晶郦城,西客站,3室1厅 ,115.31, 南 , 毛坯 ,13, 板楼,31, 一年前发布,2000000.0,"17,345元/平",VR看装修 房本满两年 随时看房 
西客站精装三室满五年省高税诚心出售,绿地国际花都,腊山,3室1厅 ,108.73, 南 , 简装 ,31, 板楼,7, 1个月以前发布,1350000.0,"12,417元/平",近地铁 VR房源 房本满五年 随时看房 
经二纬九双气 三室两厅双阳台 距离西市场华联近,经二路,西市场,3室2厅 ,123.36, 南 北 , 精装 ,7, 板楼,34, 1个月以前发布,1450000.0,"11,755元/平",VR看装修 房本满五年 随时看房 
精装修 房龄新 采光充足 ，中间楼层,金科城,西客站,3室2厅 ,111.2, 南 北 , 精装 ,33, 板楼,86, 3个月以前发布,1500000.0,"13,490元/平",近地铁 VR看装修 房本满两年 随时看房 
绿地国际花都 大三室 南北通透 精装修 有车位地下室,绿地国际花都,腊山,3室2厅 ,105.11, 南 北 , 精装 ,18, 板楼,26, 一年前发布,1310000.0,"12,464元/平",近地铁 VR看装修 房本满五年 随时看房 
店长力荐 印象济南旁阳光房，采光刺眼，改善三室主选,海亮艺术华府,西客站,3室2厅 ,107.83, 南 , 简装 ,33, 板楼,22, 8个月以前发布,1440000.0,"13,355元/平",VR看装修 房本满两年 随时看房 
店长力荐 印象济南旁阳光房，采光刺眼，改善三室主选,海亮艺术华府,西客站,3室2厅 ,107.83, 南 , 简装 ,33, 板楼,22, 8个月以前发布,1440000.0,"13,355元/平",VR看装修 房本满两年 随时看房 
外海西子花园洋房 厅卧朝阳 双气 有地下室,外海西子城市花园,匡山区,2室2厅 ,87.93, 南 北 , 简装 ,6, 板楼,12,24,1100000.0,"12,510元/平",VR看装修 房本满五年 随时看房 
好户型 三室两卫 采光好 毛坯新房,西城济水上苑,西客站,3室2厅 ,122.78, 南 , 毛坯 ,30, 板楼,6,23,1520000.0,"12,380元/平",近地铁 VR看装修 房本满两年 随时看房 
可随时看房，业主诚意出售，采光好，有露台,恒大雅苑,西客站,3室1厅 ,114.0, 南 北 , 精装 ,30, 板楼,7,5,1360000.0,"11,930元/平",近地铁 VR看装修 
恒大金碧新城配套成熟、看房方便、诚心出售、交通便利,恒大金碧新城,西客站,3室2厅 ,124.0, 南 北 , 精装 ,32, 板楼,5,4,1710000.0,"13,791元/平",VR看装修 
西客站龙湖名景台 精装小三室 小高层 采光无遮挡,龙湖名景台,西客站,3室2厅 ,97.23, 南 北 , 精装 ,18, 板楼,11,26,1540000.0,"15,839元/平",VR看装修 房本满两年 
新上好房四室  两卫   视野好   满两年  好楼层,海亮艺术华府,西客站,4室2厅 ,132.74, 南 北 , 精装 ,24, 板楼,4,28,1960000.0,"14,766元/平",VR看装修 房本满两年 
二环内，经十路沿线，花园式小区，次新房，南北通透,财富壹号,段店,3室2厅 ,135.27, 南 北 , 精装 ,32, 板楼,9,26,2200000.0,"16,264元/平",VR看装修 房本满两年 
产权地下室 ，精装无甲醛，免高税，交通便利 采光好,财富壹号,段店,3室2厅 ,105.74, 南 北 , 精装 ,32, 板楼,2,20,1890000.0,"17,875元/平",VR看装修 房本满两年 
店长力推-印象济南海亮三室精装无绑定户型方正满两年,海亮艺术华府,西客站,3室2厅 ,99.82, 南 北 , 精装 ,33, 板楼,6,16,1450000.0,"14,527元/平",VR看装修 房本满两年 
精装大平层，好楼层，有两个车位，60万精装，可贷款,恒大天玺,西客站,5室2厅 ,265.0, 南 , 精装 ,25, 板楼,4,23,4300000.0,"16,227元/平",VR看装修 
南辛花园 两居室 双气 中间楼层 采光好 看房方便,南辛花园,南辛庄,2室2厅 ,97.29, 南 , 简装 ,7, 板楼,9,24,1320000.0,"13,568元/平",VR房源 房本满五年 随时看房 
和谐广场北邻  新世界阳光花园 2014年交房 精装修,新世界阳光花园东区,和谐广场,2室2厅 ,92.14, 南 北 , 精装 ,17, 板楼,15,22,1730000.0,"18,776元/平",VR看装修 房本满五年 随时看房 
精装一室，双气，可贷款，电梯房，经十沿线,香桔市,营市街,1室1厅 ,34.39, 东 西 , 简装 ,11, 板楼,4,15,415000.0,"12,068元/平",VR房源 房本满五年 随时看房 
龙湖 西客站 印象济南 一楼倒复式 南北院,龙湖水晶郦城,西客站,3室2厅 ,260.0, 南 北 , 精装 ,11, 板楼,17, 2个月以前发布,4550000.0,"17,500元/平",VR房源 房本满两年 
映月紫云城 精装小高层 视野好 诚心出售 看房方便,映月紫云城,南辛庄,3室2厅 ,98.84, 南 , 精装 ,24, 板楼,12,19,1780000.0,"18,009元/平",VR看装修 房本满两年 
中建锦绣城  两室朝阳  精装修  诚心出售 好楼层,中建锦绣城,西客站,2室2厅 ,92.15, 南 , 精装 ,32, 板楼,6,24,1220000.0,"13,240元/平",VR看装修 房本满两年 
店长力荐 子母车位 邻印象济南 弘阳广场  堪比样板间,海亮艺术华府,西客站,3室2厅 ,107.24, 南 北 , 精装 ,24, 板楼,33,16,1650000.0,"15,387元/平",VR看装修 房本满两年 
香榭丽经典三室，好楼层无遮挡，满二精装好房,绿地新里香榭丽公馆,西客站,3室2厅 ,110.54, 南 , 精装 ,31, 板楼,3,17,1550000.0,"14,023元/平",VR看装修 房本满两年 
（店长推荐）精装婚房  值得了解,金科城,西客站,3室1厅 ,100.83, 南 , 精装 ,34, 板楼,7,17,1500000.0,"14,877元/平",VR房源 房本满两年 
急售精装小高层，花园式小区，五星物业负责，生活方便,龙湖名景台,西客站,2室2厅 ,88.84, 南 北 , 精装 ,18, 板楼,11,15,1390000.0,"15,647元/平",VR房源 房本满两年 
锦绣城一期 南北三居室 电梯高层 视野光线好,中建锦绣城,西客站,3室1厅 ,119.17, 南 , 精装 ,33, 板楼,4, 3个月以前发布,1600000.0,"13,427元/平",近地铁 VR看装修 房本满两年 随时看房 
和谐南+房龄新+小三室+楼层好+视野好+地下室,阳光100国际新城K区,阳光100区,3室1厅 ,103.06, 南 , 简装 ,33, 板楼,93, 9个月以前发布,1680000.0,"16,302元/平",VR看装修 房本满两年 随时看房 
锦绣城二期，精装免高税急售置换，采光好,中建锦绣城,西客站,3室2厅 ,124.98, 南 北 , 精装 ,30, 板楼,69, 一年前发布,1680000.0,"13,443元/平",VR看装修 房本满两年 随时看房 
诚意出售三室两厅 户型方正 楼层好 采光好 看房方便,恒大翡翠华庭,西客站,3室2厅 ,112.47, 南 北 , 精装 ,26, 板楼,10, 4个月以前发布,1595000.0,"14,182元/平",VR看装修 房本满两年 随时看房 
单价低   公园旁  公摊低  得房率高,龙腾国际花园,匡山区,3室1厅 ,162.8, 南 北 , 简装 ,6, 板楼,10,8,1890000.0,"11,610元/平",近地铁 VR看装修 随时看房 
《店长推荐》 经十路  花园洋房   带产权车位地下室,连城水岸,段店,3室1厅 ,99.47, 南 北 , 简装 ,18, 板楼,47, 7个月以前发布,1420000.0,"14,276元/平",VR看装修 房本满五年 随时看房 
低楼层采光好精装修经十路地铁和谐旁,振兴街小区,和谐广场,2室1厅 ,69.98, 北 南 , 精装 ,6, 板楼,0,12,1120000.0,"16,005元/平",VR看装修 房本满两年 
有地下室，视野开阔无遮挡，采光好，满两年,海亮艺术华府,西客站,2室2厅 ,85.26, 南 , 精装 ,33, 板楼,4,13,1160000.0,"13,606元/平",VR房源 随时看房 
阳光100国际新城K区 2室1厅 南,阳光100国际新城K区,阳光100区,2室1厅 ,78.03, 南 , 精装 ,33, 板塔结合,2,7,1230000.0,"15,764元/平",VR房源 随时看房 
上下大复式+带40㎡露台+含地下室+两使用权车位另算,阳光100国际新城G区,阳光100区,4室3厅 ,234.55, 南 北 , 精装 ,18, 板楼,50, 一年前发布,3790000.0,"16,159元/平",VR房源 房本满五年 
证过两年 看房随时 和谐广场北邻，精装修,卢浮公馆,西市场,3室1厅 ,116.94, 南 北 , 精装 ,33, 板塔结合,9, 11个月以前发布,2290000.0,"19,583元/平",VR看装修 房本满五年 
恒大翡翠华庭 精装修 四室，有车位,恒大翡翠华庭,西客站,4室2厅 ,196.14, 南 北 , 精装 ,31, 板楼,5, 1个月以前发布,2900000.0,"14,786元/平",VR看装修 房本满两年 
卉苑小区，三楼，南北通透，带地下室，可贷款。,卉苑小区,段店,2室2厅 ,93.53, 南 北 , 简装 ,6, 板楼,15, 7个月以前发布,1210000.0,"12,938元/平",VR看装修 房本满两年 
恒大金碧新城 精装修 随时看房 楼层视野好,恒大金碧新城,西客站,3室2厅 ,124.22, 南 北 , 精装 ,32, 板楼,26, 一年前发布,1750000.0,"14,088元/平",VR看装修 房本满两年 
翡翠华庭大四居 证满两年 二次装修 中楼层 采光好,恒大翡翠华庭,西客站,4室2厅 ,200.98, 南 , 精装 ,25, 平房,23, 6个月以前发布,2880000.0,"14,330元/平",VR看装修 房本满两年 
经十路沿线，二环西旁，中间楼层，边户房龄新，可贷款,段店北路253-3号,世购,2室2厅 ,69.87, 南 北 , 简装 ,5, 板楼,6, 7个月以前发布,730000.0,"10,448元/平",VR看装修 房本满五年 
交房时间2年属于新小区，户型方正，交通出行便利。,融基御水山庄,腊山,2室1厅 ,60.65, 南 , 简装 ,13, 板楼,19,28,740000.0,"12,202元/平",VR看装修 房本满两年 
路劲御景城3居室精装修！家具家电带着！有产权车位,路劲御景城,中大槐树,3室2厅 ,133.69, 南 北 , 精装 ,22, 板楼,9,18,2550000.0,"19,074元/平",近地铁 VR看装修 房本满五年 
有证可贷款，新社区环境好，证过2年免高税，交通便利,财富壹号,段店,3室2厅 ,106.75, 南 北 , 精装 ,32, 板楼,4,19,1850000.0,"17,331元/平",VR看装修 房本满两年 
龙湖洋房，好楼层，满两年，看房方便,龙湖名景台,西客站,3室2厅 ,124.79, 南 北 , 精装 ,9, 板楼,6,17,2330000.0,"18,672元/平",VR看装修 房本满两年 
证满两年  万科物业 中间楼层 采光好 产权清晰,西城济水上苑,西客站,3室2厅 ,120.41, 南 北 , 毛坯 ,33, 板楼,7,16,1480000.0,"12,292元/平",近地铁 VR房源 随时看房 
东南向两居室，户型方正，随时看房，带地下室,阳光100国际新城H区,阳光100区,2室2厅 ,80.98, 东南 , 精装 ,26, 板塔结合,5,30,1495000.0,"18,462元/平",VR看装修 房本满两年 
南向三室 两室客厅厨房朝阳，采光好 中楼层，采光好,阳光100国际新城F区,阳光100区,3室2厅 ,121.66, 南 , 精装 ,18, 塔楼,8,17,1790000.0,"14,714元/平",VR房源 房本满五年 
凯旋新城东区中间楼层采光好户型方正,凯旋新城东区,南辛庄,1室1厅 ,70.96, 南 , 简装 ,28, 板楼,3,16,1300000.0,"18,321元/平",VR看装修 房本满五年 
阳光100四期 出行方便 精装修两居室,阳光100国际新城T区,阳光100区,2室2厅 ,81.69, 北 , 简装 ,30, 塔楼,4,15,1050000.0,"12,854元/平",VR房源 房本满五年 
西客站中建锦绣城 精装修 绿树成荫 两室朝阳采光好！,中建锦绣城,西客站,2室1厅 ,90.54, 南 , 精装 ,33, 板楼,4,28,1200000.0,"13,254元/平",近地铁 VR房源 随时看房 
满五年，大院停车免费，有双气，交通便利，采光好,机车新村五街,段店,2室1厅 ,62.83, 南 北 , 简装 ,6, 板楼,4,27,770000.0,"12,256元/平",VR房源 随时看房 
2015年房龄，两室客厅朝南，地暖，电梯刷卡进出,阳光100国际新城H区,阳光100区,3室2厅 ,109.0, 南 北 , 简装 ,27, 板塔结合,72, 一年前发布,1780000.0,"16,331元/平",VR看装修 房本满两年 随时看房 
中间楼层 可根据喜好装修 看房方便  采光视野好,绿地中央广场三区,西客站,2室2厅 ,96.25, 南 北 , 毛坯 ,27, 板楼,8, 5个月以前发布,1210000.0,"12,572元/平",VR看装修 房本满两年 随时看房 
荣祥花园 伴云居 户型好 交通便利出行方便,荣祥花园,腊山,2室2厅 ,94.21, 南 , 精装 ,18, 板楼,30, 10个月以前发布,1100000.0,"11,677元/平",近地铁 VR房源 房本满五年 随时看房 
精装修三室，看房方便 拎包入住 诚心出售,阳光100国际新城G区,阳光100区,3室1厅 ,109.75, 西北 , 精装 ,21, 板楼,27, 一年前发布,1490000.0,"13,577元/平",VR看装修 房本满五年 随时看房 
兴盛小区！两室一厅！南向采光好，业主诚心出售!,兴盛小区,连城,2室1厅 ,70.07, 南 , 毛坯 ,23, 板楼,47, 一年前发布,1000000.0,"14,272元/平",VR看装修 房本满五年 随时看房 
两室一厅、 采光充足 、精装双气、诚意出售,老屯铁路小区,匡山区,2室1厅 ,69.6, 南 , 简装 ,6, 板楼,16, 一年前发布,660000.0,"9,483元/平",VR看装修 房本满五年 随时看房 
精装两居 中间楼层 户型方正 随时看诚心卖,西城济水上苑,西客站,2室2厅 ,91.99, 南 , 精装 ,33, 板楼,13, 2个月以前发布,1180000.0,"12,828元/平",VR房源 房本满两年 随时看房 
西客站南向两居  户型方正交通便利,绿地中央广场四区,西客站,2室2厅 ,91.37, 南 , 简装 ,32, 板楼,3, 3个月以前发布,1140000.0,"12,477元/平",近地铁 VR看装修 房本满两年 随时看房 
全明户型，动静分离，精装修一次未住两居。,金科城,西客站,2室2厅 ,82.0, 南 , 精装 ,31, 板楼,85, 10个月以前发布,1080000.0,"13,171元/平",VR看装修 房本满两年 随时看房 
金科城，一楼，看房方便，诚心出售,金科城,西客站,3室1厅 ,67.66, 南 , 简装 ,26, 板楼,39, 3个月以前发布,840000.0,"12,416元/平",VR看装修 房本满两年 随时看房 
金科城 +可贷款+视野开阔+交通便利+13万产权车位,金科城,西客站,2室2厅 ,85.42, 南 , 精装 ,33, 板楼,37, 4个月以前发布,1140000.0,"13,346元/平",VR看装修 房本满两年 随时看房 
南辛庄东街两居室，南北通透公摊小！,南辛庄东街,南辛庄,2室2厅 ,105.19, 南 北 , 精装 ,6, 暂无数据,9, 9个月以前发布,1200000.0,"11,408元/平",VR看装修 房本满五年 随时看房 
南辛庄东街两居室，南北通透公摊小！,南辛庄东街,南辛庄,2室2厅 ,105.19, 南 北 , 精装 ,6, 暂无数据,9, 9个月以前发布,1200000.0,"11,408元/平",VR看装修 房本满五年 随时看房 
阳光100五期，房龄新，精装修户型好用，落地窗,阳光100国际新城K区,阳光100区,2室1厅 ,80.19, 北 , 精装 ,23, 板塔结合,52, 10个月以前发布,1250000.0,"15,588元/平",VR看装修 房本满两年 随时看房 
金科城 +可贷款+视野开阔+交通便利+13万产权车位,金科城,西客站,2室2厅 ,85.42, 南 , 精装 ,33, 板楼,37, 4个月以前发布,1140000.0,"13,346元/平",VR看装修 房本满两年 随时看房 
精装三室 前无遮挡 户型方正采光充足环境优美出行方便,阳光100国际新城G区,阳光100区,3室2厅 ,135.21, 西南 , 精装 ,23, 板楼,56, 9个月以前发布,2010000.0,"14,866元/平",VR看装修 房本满两年 随时看房 
此房满两年，新房未住，刚需两室，户型方正，看房方便,西城济水上苑,西客站,2室2厅 ,92.39, 南 , 毛坯 ,33, 板楼,25, 1个月以前发布,1060000.0,"11,474元/平",近地铁 VR看装修 房本满两年 随时看房 
正规三居室 带地下室 看房方便 诚心卖，可以贷款,阳光100国际新城T区,阳光100区,3室2厅 ,93.65, 西北 , 简装 ,27, 塔楼,29, 1个月以前发布,1350000.0,"14,416元/平",VR房源 房本满五年 随时看房 
阳光一百三居室居住舒适安静采光好环境好 出行方便,阳光100国际新城G区,阳光100区,3室2厅 ,139.07, 西南 , 精装 ,28, 塔楼,15, 4个月以前发布,1950000.0,"14,022元/平",VR看装修 房本满五年 随时看房 
剑桥府邸，有证可贷款，精装修，南北通风好，诚心出售,剑桥府邸,腊山,3室2厅 ,111.36, 南 北 , 精装 ,30, 板楼,2,21,1630000.0,"14,638元/平",近地铁 VR看装修 
西客站大三室两卫，楼层好，无遮挡,鑫苑世家公馆,西客站,3室2厅 ,119.36, 南 , 简装 ,29, 板楼,3,28,1860000.0,"15,584元/平",VR看装修 
户型格局好，两室客厅朝阳 全明户型 楼层好采光棒,实力粼湖居,腊山,3室2厅 ,108.2, 南 北 , 精装 ,32, 板楼,0,15,1490000.0,"13,771元/平",VR看装修 
