精装两室不沿街 全福立交桥两室两厅全明户型 客厅朝南,路劲东城,全福区,2室2厅 ,82.94, 南 , 精装 ,33, 板楼,10, 1个月以前发布,1280000.0,"15,433元/平",VR看装修 房本满两年 随时看房 
满二带车位、简单装修、小高层好楼层、价格美丽合适,龙湖春江悦茗,唐冶,3室2厅 ,121.28, 北 南 , 毛坯 ,17, 板楼,25, 2个月以前发布,1900000.0,"15,667元/平",VR看装修 
七里河路2-1号 2室1厅 南,七里河路2-1号,七里河,2室1厅 ,94.34, 南 , 精装 ,7, 板楼,6,29,900000.0,"9,540元/平",VR看装修 
精装修，南北通透两居室，价格可谈，带地下室,上海花园,祝甸,2室2厅 ,100.16, 南 北 , 精装 ,6, 板楼,27,17,1590000.0,"15,875元/平",近地铁 VR看装修 
满五唯一，采光充足，总价低，历下区,东篱花园,济钢,2室1厅 ,83.0, 西北 , 简装 ,25, 塔楼,7,28,900000.0,"10,844元/平",VR看装修 
济钢新村小户型 满两年 精装 免费停车 可谈 诚心卖,济钢新村西区,济钢,2室1厅 ,45.4, 南 , 精装 ,6, 板楼,16,18,498000.0,"10,970元/平",VR看装修 
万象新天三区 2室2厅 南,万象新天三区,王舍人,2室2厅 ,91.0, 南 , 精装 ,6, 板楼,8,20,1250000.0,"13,737元/平",VR看装修 
房子位置好，采光好，精装两室 ，高楼层,恒大名都,唐冶,2室2厅 ,94.0, 南 北 , 精装 ,32, 板楼,2,26,1300000.0,"13,830元/平",VR看装修 
精装花了15万  117平边户   没有增值税,中海御山首府,华山,3室2厅 ,116.83, 南 北 , 精装 ,32, 板楼,22,25,1520000.0,"13,011元/平",VR看装修 
凤栖第 2室1厅 南 北,凤栖第,建筑大学,2室1厅 ,92.83, 南 北 , 精装 ,33, 板楼,5,26,1500000.0,"16,159元/平",VR看装修 
随时看房 两室一厅朝南 采光好非顶 证过两年,凤栖第,建筑大学,2室1厅 ,88.31, 南 北 , 精装 ,33, 板楼,36, 7个月以前发布,1300000.0,"14,721元/平",VR看装修 房本满两年 
此房价格便宜，可拎包入住，交通便利 看房方便,黄台板桥238号,全福区,2室1厅 ,64.34, 南 北 , 简装 ,4, 暂无数据,22, 1个月以前发布,640000.0,"9,948元/平",VR看装修 房本满五年 
小高层 电梯房 南向采光好 视野开阔 双气  方便看房,兴业嘉苑新天地,七里河,1室1厅 ,50.95, 南 , 简装 ,11, 板楼,3, 5个月以前发布,770000.0,"15,113元/平",VR看装修 房本满五年 
大润发旁 2居室 总价低 采光好 满五唯一,东兴寓城,全福区,2室1厅 ,75.49, 南 北 , 简装 ,12, 板楼,13, 1个月以前发布,1210000.0,"16,029元/平",近地铁 VR看装修 房本满五年 
精装一室公寓 双气 拎包即可入住,荣盛时代国际,全福区,1室0厅 ,43.06, 南 , 其他 ,22, 板塔结合,8, 8个月以前发布,385000.0,"8,942元/平",VR房源 房本满两年 
大润发旁 南北通透 格局好 中高楼层 采光好视野开阔,荣盛锦绣澜湾,全福区,2室2厅 ,77.66, 南 北 , 精装 ,32, 板楼,9, 3个月以前发布,1430000.0,"18,414元/平",VR看装修 房本满两年 
洪楼印象城 山东大学东 精装修 楼层好,山大北路46-1号,山大路,3室1厅 ,72.36, 北 南 , 精装 ,5, 板楼,19, 2个月以前发布,1250000.0,"17,275元/平",VR看装修 房本满五年 
洪家楼， 印象城    低楼层  出行方便  两室,花园小区一区,洪家楼,2室0厅 ,53.32, 南 北 , 简装 ,5, 板楼,20, 2个月以前发布,720000.0,"13,504元/平",VR看装修 房本满五年 
山大二院旁 明福苑小区 三楼精装地下室 满五年急售,明福苑,全福区,2室1厅 ,79.0, 南 北 , 精装 ,8, 板楼,21, 3个月以前发布,1130000.0,"14,304元/平",VR看装修 随时看房 
新上幸福里小三居，中间楼层，随时看房，,万科幸福里,济钢,3室2厅 ,93.81, 南 北 , 精装 ,18, 板楼,20, 1个月以前发布,1450000.0,"15,457元/平",VR看装修 随时看房 
三室一厅朝阳 随时看房 客厅带阳台 位置好 落地窗,鲁能泰山7号,唐冶,4室2厅 ,143.45, 南 北 , 毛坯 ,32, 板楼,12, 9个月以前发布,1900000.0,"13,246元/平",VR看装修 随时看房 
随时看房   绿地城精装两居  价格可谈,绿地城,唐冶,2室2厅 ,80.54, 南 , 简装 ,33, 板楼,121, 6个月以前发布,975000.0,"12,106元/平",VR看装修 随时看房 
车位另算、钥匙房看房方便、有证可看齐鲁软件园,龙湖春江郦城东区,建筑大学,3室1厅 ,115.0, 南 北 , 毛坯 ,34, 板楼,150, 9个月以前发布,1550000.0,"13,479元/平",VR看装修 随时看房 
东兴寓城 2室1厅 南 北,东兴寓城,全福区,2室1厅 ,80.0, 南 北 , 简装 ,12, 板楼,78, 一年前发布,1080000.0,"13,500元/平",近地铁 VR看装修 随时看房 
业主诚心出售+户型方正+有车位一个+看房方便,舜奥华府,汉峪,2室2厅 ,111.67, 南 , 精装 ,25, 板楼,9, 1个月以前发布,2550000.0,"22,836元/平",VR看装修 随时看房 
凤凰路旁  简装两室  2楼  不靠路  看房预约,铁骑路49号,康虹路,2室1厅 ,54.71, 南 北 , 简装 ,6, 板楼,11, 4个月以前发布,680000.0,"12,430元/平",近地铁 VR看装修 随时看房 
中铁二期精装三室，带地下室诚心出售,中铁逸都国际,汉峪,3室2厅 ,133.0, 南 北 , 简装 ,32, 板楼,60, 8个月以前发布,2360000.0,"17,745元/平",VR看装修 随时看房 
好楼层 不沿街 正常首付 房本满2 随时看房,鲁能泰山7号,唐冶,3室2厅 ,95.43, 南 北 , 毛坯 ,34, 板楼,3, 5个月以前发布,1388000.0,"14,545元/平",VR看装修 随时看房 
银丰唐郡紫薇园  一室精装修    随时看房,银丰唐郡紫薇园,唐冶,1室1厅 ,54.0, 南 , 其他 ,25, 板楼,4, 1个月以前发布,795000.0,"14,723元/平",VR看装修 随时看房 
电梯洋房 有车库 自住精装 南北通透 全明户型,建大花园,建筑大学,3室2厅 ,134.22, 南 北 , 精装 ,6, 板楼,18, 2个月以前发布,3660000.0,"27,269元/平",VR房源 房本满两年 
卫浴全明，精装修，拎包入住，南北通透,河泰优山美郡,济钢,2室2厅 ,94.45, 南 北 , 精装 ,18, 板楼,4,15,1130000.0,"11,965元/平",VR看装修 
万象新天 精装两室 房主急售，功能间带窗,万象新天北一区,王舍人,2室2厅 ,90.4, 南 , 精装 ,30, 板楼,3,16,1250000.0,"13,828元/平",VR看装修 
万象新天北一区92平两室全明证过两年精装,万象新天北一区,王舍人,2室2厅 ,90.82, 南 , 精装 ,28, 板楼,6, 3个月以前发布,1230000.0,"13,544元/平",VR看装修 房本满两年 
洪家楼 精装洋房 地铁次新小区,福润康城,洪家楼,3室2厅 ,126.14, 南 北 , 精装 ,11, 板楼,2, 4个月以前发布,2330000.0,"18,472元/平",VR看装修 房本满五年 
电梯洋房 好楼层  精装修  公摊小 封闭式社区 绿化好,锦绣泉城,七里河,2室1厅 ,93.26, 南 , 精装 ,12, 塔楼,27,30,1400000.0,"15,012元/平",VR看装修 房本满五年 
满二 无户口 无上学记录 有租客看房方便...,中海华山珑城,华山,3室2厅 ,110.65, 南 北 , 毛坯 ,32, 板楼,19, 5个月以前发布,1380000.0,"12,472元/平",VR看装修 房本满两年 
：采光充足 配套齐全，交通便利 南北通透 地铁口,中建新悦城,济钢,2室1厅 ,71.61, 南 北 , 精装 ,30, 板楼,36, 1个月以前发布,1050000.0,"14,663元/平",近地铁 VR看装修 房本满两年 
济钢新村东区非顶楼，诚意出售看房方便！,济钢新村南区和东区,济钢,2室2厅 ,66.27, 南 , 精装 ,8, 板楼,62, 2个月以前发布,718000.0,"10,835元/平",VR看装修 房本满五年 
御山首，府，小三居，简装，中高层，随时看,中海御山首府,华山,3室2厅 ,97.27, 南 北 , 简装 ,29, 板楼,14, 2个月以前发布,1260000.0,"12,954元/平",VR看装修 随时看房 
满二可首付三成、好楼层位置优越、精装修,中新国际城,济钢,3室2厅 ,106.49, 南 北 , 简装 ,25, 板楼,2, 1个月以前发布,1490000.0,"13,992元/平",VR看装修 随时看房 
春江郦城  刚需小三居  简单装修  山师  诚意出售,龙湖春江郦城东区,建筑大学,3室1厅 ,93.06, 南 北 , 简装 ,34, 板楼,120, 6个月以前发布,1320000.0,"14,185元/平",VR看装修 随时看房 
户型布局合理，中间楼层采光好，近地铁，配套设施齐全,恒大城二期,王舍人,3室2厅 ,148.28, 南 , 精装 ,30, 板楼,2, 9个月以前发布,2020000.0,"13,623元/平",近地铁 VR看装修 随时看房 
价格包含产权车位地下室，地下室18平！,和润幸福城,唐冶,3室1厅 ,126.0, 南 , 毛坯 ,34, 板楼,3, 6个月以前发布,2250000.0,"17,858元/平",VR看装修 随时看房 
户型方正南北通透，带车位地下室，证满两年无高税,凤凰国际南区,经十东路,3室2厅 ,133.91, 南 北 , 简装 ,33, 板楼,14, 4个月以前发布,2680000.0,"20,014元/平",VR看装修 随时看房 
三居室  带地下室  户型方正  楼层好,万象新天哈佛郡,王舍人,3室1厅 ,106.0, 南 北 , 简装 ,33, 板塔结合,20, 3个月以前发布,1450000.0,"13,680元/平",VR看装修 随时看房 
中新国际城 全天采光 有证可贷款 有钥匙随时看,中新国际城,济钢,3室2厅 ,108.29, 南 , 毛坯 ,25, 板楼,19, 1个月以前发布,1530000.0,"14,129元/平",VR看装修 随时看房 
绿地城 3室2厅 南 北,绿地城,唐冶,3室2厅 ,114.74, 南 北 , 毛坯 ,11, 板楼,21, 1个月以前发布,1650000.0,"14,381元/平",VR房源 随时看房 
旅游路 绿城玉兰花园，小高层，位置好,高新绿城玉蘭花园,汉峪,4室2厅 ,143.81, 南 北 , 毛坯 ,18, 板楼,248, 一年前发布,4050000.0,"28,163元/平",VR看装修 随时看房 
河泰精装小三室，楼层好，带地下室,河泰优山美郡,济钢,3室2厅 ,106.17, 南 北 , 精装 ,18, 板楼,29, 4个月以前发布,1395000.0,"13,140元/平",VR看装修 随时看房 
恒大城二期 3室2厅 南,恒大城二期,王舍人,3室2厅 ,149.17, 南 , 精装 ,26, 板楼,8, 3个月以前发布,2100000.0,"14,078元/平",近地铁 VR看装修 随时看房 
华山精装小三居，约10万左右的精装，方便看房，位置好,中海御山首府,华山,3室2厅 ,97.27, 南 北 , 精装 ,29, 板楼,17, 1个月以前发布,1300000.0,"13,365元/平",VR看装修 随时看房 
好楼层采光充足，户型方正，2期户型，随时可看,鲁能泰山7号,唐冶,3室2厅 ,108.85, 南 , 毛坯 ,32, 板楼,18, 3个月以前发布,1530000.0,"14,057元/平",VR看装修 随时看房 
满二年，楼层好，采光充足+看房比较方便+交通便利,中铁逸都国际,汉峪,3室2厅 ,141.93, 南 北 , 简装 ,11, 板楼,81, 一年前发布,2750000.0,"19,376元/平",VR看装修 随时看房 
东岸嘉园 带车位家具家电 精装修 证满两年 位置采光好,东岸嘉园,经十东路,2室2厅 ,98.98, 南 , 精装 ,24, 板楼,19, 一年前发布,1150000.0,"11,619元/平",VR看装修 房本满五年 
华龙路  精装修  低楼层   户型方正   满二  产权清晰,华龙路726号,化纤厂路,2室1厅 ,85.74, 南 , 精装 ,7, 板楼,12, 8个月以前发布,1440000.0,"16,795元/平",VR看装修 房本满两年 
楼层好   通风好   看房提前预约   诚心出售,腾骐冠宸花园,祝甸,2室1厅 ,68.77, 南 北 , 简装 ,11, 板楼,35, 6个月以前发布,1060000.0,"15,414元/平",近地铁 VR看装修 房本满两年 
二环内主城，交通枢纽位置，装修双气，独立厨房,荣盛时代国际,全福区,1室1厅 ,43.06, 南 , 精装 ,22, 板塔结合,37, 一年前发布,388000.0,"9,011元/平",VR房源 房本满两年 
洪家楼，印象城，山大旁，精装修，智能家居住宅,洪楼西路94-1号,山大路,2室1厅 ,61.67, 东 西 , 精装 ,5, 板楼,93, 3个月以前发布,1050000.0,"17,027元/平",VR看装修 房本满五年 
工业北 万虹广场 公寓着急出售 欢迎实地考察,万虹广场,王舍人,1室1厅 ,55.59, 南 , 简装 ,31, 板楼,4, 1个月以前发布,400000.0,"7,196元/平",近地铁 VR房源 房本满两年 
11层洋房 好楼层  视野好不沿街  低公摊  有证,绿地城,唐冶,3室2厅 ,122.69, 南 北 , 简装 ,11, 板楼,16, 1个月以前发布,1760000.0,"14,346元/平",VR看装修 随时看房 
全明户型，出行方便，毛坯房诚心出售。,中海御山首府,华山,3室1厅 ,117.0, 南 北 , 毛坯 ,32, 板楼,11, 3个月以前发布,1350000.0,"11,539元/平",VR看装修 随时看房 
买的不是房子是幸福.安静居家.户型方正，管家式物业,龙湖春江悦茗,唐冶,3室2厅 ,121.28, 南 北 , 精装 ,17, 板楼,10, 3个月以前发布,1940000.0,"15,997元/平",VR看装修 随时看房 
户型方正，前无遮挡，采光好，房主诚意出售！,东都尚城,还乡店,3室2厅 ,113.15, 南 , 毛坯 ,33, 板楼,27, 一年前发布,1550000.0,"13,699元/平",近地铁 VR看装修 随时看房 
山间景色尽收眼底 中间楼层  总高18f 两梯两户,高新绿城玉蘭花园,汉峪,4室2厅 ,143.0, 南 北 , 简装 ,18, 板楼,102, 一年前发布,4260000.0,"29,791元/平",VR看装修 随时看房 
证满两年中间楼层带车位地下室精装修带部分家具家电.,涵玉翠岭,汉峪,3室2厅 ,138.9, 南 北 , 精装 ,17, 板楼,70, 4个月以前发布,2740000.0,"19,727元/平",VR看装修 随时看房 
急售 随时方便看房子  两室朝阳户型  南北通透,祥泰城,还乡店,3室2厅 ,101.0, 南 北 , 毛坯 ,26, 板楼,115, 8个月以前发布,1340000.0,"13,268元/平",VR看装修 随时看房 
万科精装修 万科物业 高楼层采光充足 随时看房 诚心卖,万科新里程,还乡店,3室2厅 ,92.89, 南 北 , 精装 ,18, 板楼,17, 3个月以前发布,1620000.0,"17,440元/平",近地铁 VR看装修 随时看房 
采光充足 配套设施充足 户型好  无遮挡,绿地城,唐冶,3室2厅 ,116.55, 南 , 简装 ,33, 板楼,26, 6个月以前发布,1450000.0,"12,442元/平",VR看装修 随时看房 
南北通透落地窗 户型方正 视野采光都不错 临地铁,鲁能泰山7号,唐冶,3室2厅 ,115.91, 南 北 , 毛坯 ,28, 板楼,12,23,1630000.0,"14,063元/平",VR看装修 随时看房 
万象新天精装三室，有证免高税，带家具家电。,万象新天北一区,王舍人,3室2厅 ,101.0, 南 , 精装 ,30, 板楼,6,30,1400000.0,"13,862元/平",VR看装修 随时看房 
华皓精装三室有车位中间楼层采光视野好山大瀚阳,华皓英伦联邦,汉峪,3室2厅 ,113.0, 南 北 , 精装 ,27, 板楼,11,31,2750000.0,"24,337元/平",VR看装修 
业主已定新房急售 高楼层采光好 满两年 南北落地窗,鲁能泰山7号,唐冶,3室1厅 ,115.52, 南 北 , 简装 ,28, 板楼,11,29,1638000.0,"14,180元/平",VR看装修 
锦绣天地好楼层、精装修装修20万、首付无要求可贷款,中新锦绣天地,济钢,3室2厅 ,107.0, 南 , 精装 ,24, 板楼,9,18,1550000.0,"14,486元/平",VR看装修 
汉峪片区 视野采光好 户型方正 业主诚心出售,凤凰国际南区,经十东路,3室2厅 ,133.0, 南 , 毛坯 ,33, 板楼,10,18,2600000.0,"19,549元/平",VR看装修 
洋房三室 1梯2户 南北通透 诚心出售  采光好,新城香溢紫郡,王舍人,3室1厅 ,114.97, 南 北 , 毛坯 ,11, 板楼,12,19,1695000.0,"14,743元/平",VR看装修 
户型通透  中间楼层 两梯四户  采光好,新城香溢紫郡,王舍人,3室2厅 ,98.0, 南 北 , 简装 ,29, 板楼,5,19,1420000.0,"14,490元/平",VR看装修 
湖景房 好位置 视野开阔 整个小区没几户,锦绣泉城,七里河,3室2厅 ,138.0, 南 北 , 精装 ,13, 板楼,13,21,2720000.0,"19,711元/平",VR看装修 
大汉峪精装小高层，山景视野，带车位,涵玉翠岭,汉峪,3室2厅 ,141.25, 南 北 , 精装 ,18, 板楼,23,21,2950000.0,"20,885元/平",VR看装修 
万象新天北二区 3室2厅 南,万象新天北二区,王舍人,3室2厅 ,119.17, 南 , 精装 ,32, 板塔结合,2,30,1650000.0,"13,846元/平",VR看装修 
1楼有院 两室客厅朝阳 全明户型 采光好,济钢新村中心区,济钢,3室1厅 ,81.0, 南 北 , 简装 ,5, 暂无数据,14,16,1150000.0,"14,198元/平",VR房源 
南北通透新精装楼层好视野开阔全明户型低公摊一梯两户,万象新天四区,王舍人,3室2厅 ,141.0, 南 北 , 精装 ,18, 板楼,1,29,2360000.0,"16,738元/平",VR看装修 
新上三室！中间楼层，证满两年，南北通透，采光无遮挡,中建新悦城,济钢,3室2厅 ,102.85, 南 北 , 简装 ,33, 板楼,12,25,1380000.0,"13,418元/平",近地铁 VR看装修 
万卷府  精装三室  视野好  格局好,万卷府,王舍人,3室2厅 ,95.4, 南 , 简装 ,32, 板楼,4,29,1380000.0,"14,466元/平",VR看装修 
荣盛锦绣澜湾 3室2厅 南 北,荣盛锦绣澜湾,全福区,3室2厅 ,98.49, 南 北 , 精装 ,33, 板楼,5,28,1830000.0,"18,581元/平",VR看装修 
高尔夫花院 3室1厅 南,高尔夫花院,王舍人,3室1厅 ,93.92, 南 , 精装 ,31, 板楼,19,24,1500000.0,"15,972元/平",近地铁 VR看装修 
新上！百花公园 中间楼层 两室朝阳  户型方正 储藏室,洪家楼南路46-1号,洪家楼,2室2厅 ,79.5, 南 北 , 简装 ,5, 板楼,2,22,1300000.0,"16,353元/平",VR看装修 随时看房 
全福立交桥 路劲东城 两室一厅 中高楼层 采光充足,路劲东城,全福区,2室1厅 ,60.89, 西南 , 精装 ,33, 板楼,52, 6个月以前发布,950000.0,"15,602元/平",VR看装修 房本满两年 随时看房 
户型格局方正，全天采光无遮挡。,中铁逸都国际,汉峪,2室1厅 ,87.23, 南 , 毛坯 ,24, 板楼,24, 8个月以前发布,1490000.0,"17,082元/平",VR看装修 房本满五年 随时看房 
鲁商凤凰城    精装婚房两室，一次未住  采光充足,鲁商凤凰城,唐冶,2室2厅 ,86.73, 南 , 精装 ,33, 板楼,38, 5个月以前发布,1190000.0,"13,721元/平",VR看装修 房本满五年 随时看房 
山大南院教师住宅楼温馨小三室舒适楼层！,山大南院宿舍教工住宅楼,山大路,3室1厅 ,64.42, 南 北 , 精装 ,5, 板楼,58, 一年前发布,1260000.0,"19,560元/平",VR看装修 房本满两年 
采光好 格局方正  南向小高层位置好不沿街,龙岱花园小区,全福区,2室2厅 ,133.0, 南 , 精装 ,12, 塔楼,13, 3个月以前发布,1470000.0,"11,053元/平",VR房源 随时看房 
三室朝阳，采光好视野好，包含车位，看房随时,龙湖春江郦城东区,建筑大学,3室2厅 ,125.64, 南 , 毛坯 ,18, 板楼,74, 8个月以前发布,2120000.0,"16,874元/平",VR看装修 随时看房 
华山珑城110平 价格带全套家具家电，中装钥匙房,中海华山珑城,华山,3室2厅 ,110.22, 南 北 , 精装 ,33, 板楼,12, 6个月以前发布,1500000.0,"13,610元/平",VR看装修 随时看房 
全福立交桥+荣盛时代广场+金色港湾+北园大街！总价低,金色港湾,全福区,2室1厅 ,64.58, 南 北 , 精装 ,12, 板楼,18, 3个月以前发布,960000.0,"14,866元/平",VR看装修 房本满两年 随时看房 
区政府旁~鲁商凤凰城~带地下室~全天采光,鲁商凤凰城,唐冶,2室2厅 ,91.56, 南 北 , 精装 ,31, 板楼,67, 4个月以前发布,1100000.0,"12,014元/平",VR看装修 随时看房 
华皓英伦联邦 2室2厅 南,华皓英伦联邦,汉峪,2室2厅 ,91.06, 南 , 简装 ,26, 板楼,3, 3个月以前发布,2320000.0,"25,478元/平",VR看装修 随时看房 
中间楼层，视野开阔、无遮挡，通风采光好，,重汽1956,汉峪,2室1厅 ,92.91, 南 , 简装 ,26, 板楼,17, 7个月以前发布,1960000.0,"21,096元/平",VR看装修 随时看房 
证过两年  诚心出售 首付无要求带地下室诚心卖,永大颐和园,建筑大学,2室1厅 ,96.0, 南 , 简装 ,18, 板楼,21, 8个月以前发布,1200000.0,"12,500元/平",VR看装修 随时看房 
万象新天 洋房两室两厅。精装修  带地下室 随时看房,万象新天四区,王舍人,2室2厅 ,89.59, 南 北 , 精装 ,6, 板楼,6, 6个月以前发布,1230000.0,"13,730元/平",VR看装修 随时看房 
凤凰国际南区，急售大两居 ，中间楼层采光好视野开阔,凤凰国际南区,经十东路,2室2厅 ,105.51, 南 , 简装 ,27, 板楼,17, 11个月以前发布,1770000.0,"16,776元/平",VR看装修 房本满两年 随时看房 
华皓英伦联邦，户型方正，带三十平大露台，万科物业,华皓英伦联邦,汉峪,3室2厅 ,120.53, 南 北 , 毛坯 ,18, 板楼,45, 7个月以前发布,2900000.0,"24,061元/平",VR看装修 随时看房 
宽敞三居室 可贷款 视野佳采光好 随时看房,绿地城,唐冶,3室1厅 ,102.48, 南 , 精装 ,33, 板楼,91, 9个月以前发布,1370000.0,"13,369元/平",VR看装修 
证满5年，楼间距大，房东精装修，保养好,舜奥华府南区,汉峪,4室2厅 ,163.0, 南 东南 , 精装 ,26, 板楼,127, 一年前发布,3850000.0,"23,620元/平",VR看装修 
