中铁汇苑 2室2厅 南,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 简装 ,26, 板塔结合,37, 11个月以前发布,2000000.0,"20,254元/平",近地铁 VR看装修 房本满五年 随时看房 
小区房龄短，中间楼层采光好，南边无遮挡，精装自住,中海天悦府,齐鲁软件园,3室2厅 ,110.45, 北 南 , 其他 ,11, 板楼,41, 1个月以前发布,2850000.0,"25,804元/平",VR看装修 
中垠雅苑三居室   满两年  业主诚售,中垠雅苑,齐鲁软件园,3室2厅 ,117.5, 南 北 , 其他 ,33, 板楼,23, 3个月以前发布,2680000.0,"22,809元/平",VR看装修 
房子靠谱出售大三居小高层免双税,盛世花城,国际会展中心,3室2厅 ,136.1, 南 , 其他 ,12, 板楼,14, 1个月以前发布,2800000.0,"20,574元/平",VR房源 
楼层好总高18 ，前边总高9层，采光好两室一厅朝南,鑫苑国际城市花园,国际会展中心,2室1厅 ,73.93, 南 , 其他 ,18, 板楼,25, 10个月以前发布,1390000.0,"18,802元/平",VR看装修 
高新区齐鲁软件园西小面积住宅.,黄金时代,齐鲁软件园,1室1厅 ,33.75, 北 , 简装 ,7, 板塔结合,4, 1个月以前发布,650000.0,"19,260元/平",VR看装修 
海信慧园两居 公摊19.6% 落地窗视野好,海信慧园一区,康虹路,2室2厅 ,94.36, 南 , 简装 ,18, 板楼,5,7,1700000.0,"18,017元/平",房本满五年 
房子满二年，繁华地段，交通便利，配套完善，,万达华府,国际会展中心,3室2厅 ,139.03, 南 , 简装 ,16, 板楼,3,13,3050000.0,"21,938元/平",房本满两年 
三居室+一厨一卫+高楼层+上下方便,新东方花园,康虹路,3室1厅 ,113.49, 南 , 简装 ,12, 板楼,24,10,1690000.0,"14,892元/平",随时看房 
齐鲁软件商圈 中高楼层  看房方便  户型方正,黄金时代,齐鲁软件园,3室2厅 ,153.0, 南 , 简装 ,11, 板楼,2, 1个月以前发布,3100000.0,"20,262元/平",
海信慧园一区 3室2厅 南 北,海信慧园一区,康虹路,3室2厅 ,108.15, 南 北 , 精装 ,29, 板楼,1,4,2240000.0,"20,712元/平",VR看装修 房本满五年 随时看房 
丰奥嘉园北区 3室1厅 南,丰奥嘉园北区,奥体中路,3室1厅 ,136.32, 南 , 其他 ,24, 板楼,1,15,2460000.0,"18,046元/平",近地铁 VR房源 房本满五年 随时看房 
高新万达 新东方大四居 小高层户型方正 高新实验,新东方花园,康虹路,4室2厅 ,162.13, 南 北 , 简装 ,12, 板楼,2,2,2460000.0,"15,174元/平",VR房源 房本满两年 
近奥体 中海奥龙官邸 新出精装三室 包含全套家具家电,中海奥龙觀邸,汉峪,3室2厅 ,136.55, 南 北 , 精装 ,23, 板楼,0,5,3800000.0,"27,829元/平",VR看装修 房本满五年 
雅居园小区 5室2厅 南,雅居园小区,齐鲁软件园,5室2厅 ,188.07, 南 , 毛坯 ,6, 板楼,0,22,3150000.0,"16,750元/平",VR房源 房本满两年 
浪潮玺园 南北通透 视野开阔 楼层好 交通便利,玺园,汉峪,3室2厅 ,154.89, 南 北 , 简装 ,17, 板楼,2,17,4100000.0,"26,471元/平",VR看装修 房本满两年 随时看房 
一楼带50平的院子  三室两厅 南边别墅 采光充足,新生活家园北区,康虹路,3室2厅 ,139.27, 南 , 其他 ,11, 板楼,28,30,2850000.0,"20,464元/平",VR看装修 房本满五年 随时看房 
新生活家园 南北通透+复式+满五唯一+采光无遮挡+精装,新生活家园南区,国际会展中心,5室3厅 ,194.62, 南 北 , 精装 ,6, 板楼,117, 一年前发布,4200000.0,"21,581元/平",VR房源 房本满两年 随时看房 
康桥颐东，CBD旁，一室住宅，证过两年，诚意出售。,康桥颐东,奥体中路,1室1厅 ,79.6, 北 , 简装 ,26, 板塔结合,9,23,1400000.0,"17,588元/平",近地铁 VR看装修 房本满两年 随时看房 
明湖白鹭郡 1室1厅 西,明湖白鹭郡,康虹路,1室1厅 ,59.43, 西 , 简装 ,20, 塔楼,0,6,860000.0,"14,471元/平",VR房源 房本满两年 随时看房 
雅居园小区 3室2厅 南 北,雅居园小区,齐鲁软件园,3室2厅 ,138.22, 南 北 , 简装 ,11, 塔楼,4,13,2750000.0,"19,896元/平",VR看装修 房本满五年 随时看房 
证满五年唯一，精装修，两室客厅朝阳一室朝北，大三居,海信慧园一区,康虹路,3室2厅 ,129.74, 南 , 精装 ,18, 板楼,5,19,2640000.0,"20,349元/平",VR看装修 房本满五年 
经十路汉峪金谷浪潮旁精装三居带车位和地下室,万科麓山,齐鲁软件园,3室2厅 ,142.78, 南 北 , 精装 ,18, 板楼,1,6,4550000.0,"31,868元/平",VR看装修 房本满两年 
新生活家园北区 2室2厅 南 北,新生活家园北区,康虹路,2室2厅 ,91.56, 南 北 , 其他 ,11, 板楼,4,5,1700000.0,"18,568元/平",VR看装修 房本满五年 
茗筑美嘉 3室2厅 南 北,茗筑美嘉,康虹路,3室2厅 ,144.0, 南 北 , 其他 ,19, 板楼,3,6,2900000.0,"20,139元/平",VR看装修 
黄金时代 3室2厅 南,黄金时代,齐鲁软件园,3室2厅 ,100.0, 南 , 其他 ,7, 板楼,2,8,1500000.0,"15,000元/平",VR看装修 
此房满两年 正规户型 精装修 看房方便 诚意出售,新生活家园北区,康虹路,3室1厅 ,121.22, 南 东 , 其他 ,28, 塔楼,1,7,2150000.0,"17,737元/平",VR看装修 
此房证过两年，南向，楼层好，视野开阔，采光充足。,中铁汇苑,奥体中路,2室2厅 ,98.0, 南 , 精装 ,28, 板塔结合,0,8,2200000.0,"22,449元/平",VR看装修 随时看房 
汇展香格里拉，房主诚意出售，价格还可以在谈，北向,汇展香格里拉,国际会展中心,2室1厅 ,66.78, 北 , 简装 ,27, 塔楼,59, 一年前发布,700000.0,"10,483元/平",VR房源 房本满五年 随时看房 
凤凰SOHO 位于花园东路以北200米,凤凰SOHO,康虹路,1室1厅 ,39.46, 东 , 简装 ,18, 塔楼,4, 8个月以前发布,460000.0,"11,658元/平",VR房源 房本满两年 随时看房 
次顶楼观景好 山景房 无高税 山大凤凰路9年省心,国华印象,齐鲁软件园,2室2厅 ,112.86, 南 , 精装 ,25, 板楼,18, 9个月以前发布,2200000.0,"19,494元/平",VR看装修 房本满两年 随时看房 
中高楼层，满五不唯一，户型方正通透，业主诚意出售。,鑫苑国际城市花园,国际会展中心,3室2厅 ,95.44, 南 北 , 其他 ,18, 板楼,4, 4个月以前发布,1630000.0,"17,079元/平",VR看装修 房本满两年 随时看房 
高新温馨两居，干净整洁，好楼层，成熟配套，优质好房,海信慧园东区,康虹路,2室2厅 ,89.51, 南 , 精装 ,18, 板楼,13, 9个月以前发布,1590000.0,"17,764元/平",VR看装修 房本满五年 随时看房 
鑫苑国际 诚心出售 房子价格包含车位地下室 看房方便,鑫苑国际城市花园,国际会展中心,3室2厅 ,109.61, 南 , 其他 ,27, 塔楼,16, 9个月以前发布,1950000.0,"17,791元/平",VR看装修 房本满五年 随时看房 
三居室 南北通透 价格可谈  满五唯一 诚心出售,鑫苑国际城市花园,国际会展中心,3室2厅 ,99.37, 南 北 , 简装 ,18, 板楼,23, 3个月以前发布,1590000.0,"16,001元/平",VR看装修 房本满五年 随时看房 
中铁汇苑 价格包含地下室满两年免高税可过户贷款,中铁汇苑,奥体中路,2室2厅 ,101.04, 南 北 , 简装 ,29, 板塔结合,21, 7个月以前发布,2350000.0,"23,259元/平",近地铁 VR看装修 房本满五年 随时看房 
经典两居室+双气免高税+可贷款——业主急售！看房联系,黄金时代,齐鲁软件园,2室2厅 ,93.69, 南 , 简装 ,7, 板塔结合,4, 7个月以前发布,1300000.0,"13,876元/平",VR看装修 房本满两年 随时看房 
知心话：房子轻奢风装修有产权车位,万科麓城,齐鲁软件园,3室2厅 ,95.26, 南 北 , 精装 ,32, 板楼,28, 7个月以前发布,2380000.0,"24,985元/平",VR看装修 房本满两年 随时看房 
看房方便，无改动，诚心出售，带车位地下室,国华印象,齐鲁软件园,3室1厅 ,137.51, 南 , 毛坯 ,26, 板楼,37, 一年前发布,3150000.0,"22,908元/平",VR看装修 房本满两年 随时看房 
汇展标准一室一厅户型，看房方便，诚意出售,汇展香格里拉,国际会展中心,1室2厅 ,66.78, 北 , 简装 ,27, 塔楼,16, 一年前发布,590000.0,"8,835元/平",VR房源 房本满两年 随时看房 
满两年，带地下室+车位，毛坯房未住过，公摊小,明湖白鹭郡,康虹路,2室2厅 ,93.92, 南 , 毛坯 ,18, 板楼,19, 1个月以前发布,1580000.0,"16,823元/平",VR房源 房本满两年 随时看房 
有产权地下室高新  明湖白鹭郡  通透两居,明湖白鹭郡,康虹路,2室2厅 ,94.31, 南 北 , 简装 ,17, 板楼,6, 5个月以前发布,1640000.0,"17,390元/平",VR看装修 房本满五年 随时看房 
高新区  17层小高层  两梯四户  南北通透 带地下室,水晶东座,世纪大道,2室2厅 ,84.4, 南 北 , 其他 ,17, 板楼,42, 2个月以前发布,1170000.0,"13,863元/平",VR房源 房本满两年 随时看房 
证过五年，南北通透，楼层好，视野开阔，采光充足,康桥颐东,奥体中路,3室2厅 ,152.59, 南 北 , 精装 ,11, 板楼,26, 8个月以前发布,3980000.0,"26,083元/平",VR看装修 房本满五年 随时看房 
万达北+带地下室+看房提前约+南北 通透,茗筑美嘉,康虹路,2室2厅 ,77.79, 南 北 , 简装 ,7, 板楼,43, 4个月以前发布,1420000.0,"18,255元/平",VR看装修 房本满五年 随时看房 
精装自住房 边户通风好 观景楼层采光视野好 无高税,龙园,齐鲁软件园,3室2厅 ,146.24, 南 北 , 精装 ,26, 板楼,63, 一年前发布,2680000.0,"18,327元/平",VR看装修 房本满五年 随时看房 
雅居园小区！两居室！看房方便，房主诚心出售,雅居园小区,齐鲁软件园,2室2厅 ,89.85, 东 , 精装 ,18, 板塔结合,22, 一年前发布,1700000.0,"18,921元/平",VR看装修 房本满两年 随时看房 
楼层好，视野开阔，交通便利，配套齐全，生活便利,高新万达广场,国际会展中心,1室1厅 ,48.08, 西 , 其他 ,27, 板楼,0,23,470000.0,"9,776元/平",VR房源 房本满两年 随时看房 
新生活家园三居室，交通方便，无抵押，看房方便,新生活家园南区,国际会展中心,2室2厅 ,96.15, 南 , 其他 ,28, 塔楼,14,30,1490000.0,"15,497元/平",VR看装修 房本满五年 随时看房 
历下小户型，方正好用，中间楼层，环境优美，临地铁,康桥颐东,奥体中路,1室1厅 ,79.8, 北 , 精装 ,26, 板塔结合,1,8,1790000.0,"22,432元/平",近地铁 VR看装修 
房子满两年，户型方正，精装修，南北通透，配套齐全,新生活家园北区,康虹路,3室2厅 ,133.0, 南 北 , 精装 ,12, 板楼,2,15,2750000.0,"20,677元/平",VR看装修 
楼前别墅区，视野采光好，精装修适合居住，有地下室,中海奥龙觀邸,汉峪,3室2厅 ,114.1, 南 , 精装 ,28, 板楼,2,9,2900000.0,"25,417元/平",VR看装修 
山钢新天地 精装小高层 有车位 业主急售 随时能谈,山钢新天地,奥体中路,2室1厅 ,90.91, 南 , 精装 ,15, 板楼,8,1,2050000.0,"22,550元/平",近地铁 VR房源 
万科物业 精装好房 诚心出售 有车位,万科麓城,齐鲁软件园,3室1厅 ,95.26, 南 , 精装 ,32, 板楼,51, 9个月以前发布,2100000.0,"22,045元/平",VR看装修 房本满两年 
精装小两居+楼层好采光无遮挡+钥匙房+诚意出售,新生活家园南区,国际会展中心,2室1厅 ,74.18, 东 , 精装 ,28, 塔楼,65, 一年前发布,1200000.0,"16,177元/平",VR房源 房本满五年 随时看房 
国华印象 4室2厅 南,国华印象,齐鲁软件园,4室2厅 ,179.59, 南 , 其他 ,24, 板楼,4, 6个月以前发布,4550000.0,"25,336元/平",VR看装修 房本满两年 随时看房 
鑫苑国际城市花园 1室0厅 南,鑫苑国际城市花园,国际会展中心,1室0厅 ,47.63, 南 , 其他 ,18, 塔楼,0,6,470000.0,"9,868元/平",VR房源 随时看房 
经十路 万科品质社区 大三室 户型方正 随时看房,万科金域国际,齐鲁软件园,3室2厅 ,156.4, 南 北 , 精装 ,28, 板楼,0, 1个月以前发布,4200000.0,"26,855元/平",VR看装修 
联排别墅有电梯 院子100平 露台和车库 新房未住,中海奥龙觀邸,汉峪,4室2厅 ,315.0, 南 北 , 毛坯 ,3, 暂无数据,2,30,15000000.0,"47,620元/平",VR房源 
雅居园四区，三居室，有钥匙随时看房子诚心卖,雅居园小区,齐鲁软件园,3室2厅 ,125.05, 南 , 精装 ,18, 板塔结合,28,30,2200000.0,"17,593元/平",VR房源 
此房源满五年，简单干净装修，业主诚心出售,雅居园小区,齐鲁软件园,4室2厅 ,162.37, 南 北 , 其他 ,6, 板楼,10, 一年前发布,3680000.0,"22,665元/平",VR房源 房本满五年 
中海奥龙觀邸 4室2厅 南 北,中海奥龙觀邸,汉峪,4室2厅 ,195.23, 南 北 , 其他 ,28, 板楼,2, 3个月以前发布,6700000.0,"34,319元/平",VR看装修 房本满五年 
高新万达北盛世花城 洋房大平层 成熟配套 诚心出售,盛世花城,国际会展中心,4室2厅 ,225.58, 南 北 , 精装 ,12, 板楼,16, 11个月以前发布,4500000.0,"19,949元/平",VR房源 房本满两年 
精装公寓诚心出售 看房提前联系即可,龙湖奥东11号,汉峪,2室1厅 ,53.96, 东南 , 其他 ,32, 塔楼,0,7,960000.0,"17,791元/平",VR房源 
看房方便 精装修 业主诚意出售 拎包入住,新生活家园南区,国际会展中心,3室2厅 ,117.81, 南 北 , 其他 ,28, 塔楼,53, 7个月以前发布,1900000.0,"16,128元/平",VR看装修 房本满五年 
龙园小区 方正三室  采光通风好 有车位 舜泰广场对过,龙园,齐鲁软件园,3室2厅 ,159.24, 南 , 精装 ,27, 板楼,189, 一年前发布,2560000.0,"16,077元/平",VR看装修 房本满五年 
万科精装三室，新家具家电齐全，精装未住空置未出租过,万科麓城,齐鲁软件园,3室2厅 ,96.27, 南 北 , 精装 ,32, 板楼,34, 一年前发布,2390000.0,"24,827元/平",VR看装修 房本满两年 
凤凰SOHO 1室2厅 南,凤凰SOHO,康虹路,1室2厅 ,41.03, 南 , 其他 ,22, 塔楼,0,7,540000.0,"13,162元/平",VR房源 
龙奥东 中海奥龙观邸精装三室 看房方便 证满两年,中海奥龙觀邸,汉峪,3室1厅 ,135.62, 南 北 , 其他 ,28, 板楼,9, 3个月以前发布,3580000.0,"26,398元/平",VR看装修 房本满五年 
新东方花园 三室朝阳 双气电梯房,新东方花园,康虹路,3室2厅 ,140.0, 南 北 , 其他 ,12, 板楼,4,12,2400000.0,"17,143元/平",VR房源 
新生活南区三居室 带车位和地下室,新生活家园南区,国际会展中心,3室2厅 ,128.53, 南 北 , 简装 ,28, 塔楼,33, 一年前发布,2020000.0,"15,717元/平",VR看装修 房本满五年 
有证满两年 全明户型 精装修 楼层视野好采光棒,中海奥龙觀邸,汉峪,3室2厅 ,114.63, 南 , 其他 ,28, 板楼,17, 1个月以前发布,2700000.0,"23,555元/平",VR看装修 房本满五年 
经十路旁 奥体旁 小三居室 业主诚意出售,万科金域国际,齐鲁软件园,3室2厅 ,114.63, 南 北 , 简装 ,17, 板楼,11, 9个月以前发布,2580000.0,"22,508元/平",VR看装修 房本满两年 
高新万达，三室朝阳，采光充足，南北通透，新东方花园,新东方花园,康虹路,3室2厅 ,137.79, 南 北 , 简装 ,12, 板楼,16, 9个月以前发布,2300000.0,"16,693元/平",VR房源 房本满五年 
丰奥嘉园北区 2室1厅 南,丰奥嘉园北区,奥体中路,2室1厅 ,100.4, 南 , 其他 ,26, 板楼,4,7,1750000.0,"17,431元/平",近地铁 VR房源 
自住装修 带车位地下室 保持的很干净,丰奥嘉园北区,奥体中路,3室2厅 ,149.35, 南 北 , 精装 ,26, 板楼,25, 3个月以前发布,2800000.0,"18,748元/平",近地铁 VR看装修 房本满五年 
此房本满两年免高税 采光视野好 大两居,丰奥嘉园南区,奥体中路,2室2厅 ,101.02, 南 , 精装 ,21, 板楼,12, 5个月以前发布,1900000.0,"18,809元/平",近地铁 VR看装修 房本满两年 
茗筑美嘉 中装三居室 采光好 业主诚心出售 有地下室,茗筑美嘉,康虹路,3室2厅 ,119.75, 南 北 , 简装 ,24, 板楼,20, 5个月以前发布,2300000.0,"19,207元/平",VR看装修 房本满五年 
满五年，楼层好，采光好无遮挡，户型方正，诚意出售,茗筑美嘉,康虹路,2室2厅 ,92.23, 南 , 其他 ,18, 板楼,0,7,1650000.0,"17,891元/平",VR看装修 
明湖白鹭郡 2室1厅 南,明湖白鹭郡,康虹路,2室1厅 ,92.3, 南 , 其他 ,26, 板楼,1,5,1800000.0,"19,502元/平",VR房源 
高新万达广场 2室1厅 东南,高新万达广场,国际会展中心,2室1厅 ,65.57, 东南 , 其他 ,27, 塔楼,1,4,750000.0,"11,439元/平",VR房源 
明湖白鹭郡 2室2厅 南,明湖白鹭郡,康虹路,2室2厅 ,80.0, 南 , 其他 ,18, 板楼,0,8,1600000.0,"20,000元/平",VR看装修 
凤凰路于花园东路距离200米 R2线地铁站,凤凰SOHO,康虹路,1室1厅 ,41.0, 北 , 其他 ,19, 塔楼,0,6,520000.0,"12,683元/平",VR房源 
奥体汉峪金谷旁万科品质 带60平空中花园 精装唯一复式,万科金域国际,齐鲁软件园,5室5厅 ,203.09, 南 北 , 其他 ,28, 板楼,7, 2个月以前发布,5000000.0,"24,620元/平",VR房源 房本满两年 
丰奥嘉园北区 2室1厅 南,丰奥嘉园北区,奥体中路,2室1厅 ,100.4, 南 , 其他 ,26, 板楼,4,7,1750000.0,"17,431元/平",近地铁 VR房源 
新生活家园 康虹路 高新万达旁  交通便利,新生活家园南区,国际会展中心,3室2厅 ,159.0, 南 北 , 精装 ,6, 板楼,77, 一年前发布,3800000.0,"23,900元/平",VR房源 房本满两年 
高新新泺大街中铁汇苑通透明户型,中铁汇苑,奥体中路,3室2厅 ,143.93, 南 北 , 简装 ,22, 板塔结合,51, 一年前发布,3500000.0,"24,318元/平",VR看装修 房本满两年 
新上两室 祥泰新河湾 楼层好 通透全明户型 业主诚意卖,祥泰新河湾,康虹路,2室2厅 ,82.19, 南 北 , 精装 ,31, 板楼,0,8,1350000.0,"16,426元/平",近地铁 VR看装修 
奥体中路省+立东院北+没有居住过+有钥匙随时可以看房,康桥颐东,奥体中路,3室2厅 ,152.04, 南 北 , 精装 ,26, 板塔结合,29, 一年前发布,4150000.0,"27,296元/平",VR看装修 房本满五年 
万达华府小区 环境优美 交通便利 业主诚心出售,万达华府,国际会展中心,2室2厅 ,97.1, 南 , 毛坯 ,28, 板楼,39, 一年前发布,1850000.0,"19,053元/平",VR看装修 房本满两年 
北区碧桂园物业，三室好房，南北通透，诚意卖可谈价格,祥泰新河湾,康虹路,3室1厅 ,96.29, 北 南 , 精装 ,34, 板楼,26, 5个月以前发布,1750000.0,"18,175元/平",VR房源 房本满两年 
此房证过两年，两室朝阳，楼层好，视野开阔，采光充足,海信贤文世家,奥体中路,2室2厅 ,81.35, 南 , 其他 ,32, 板楼,5,6,1890000.0,"23,233元/平",近地铁 VR看装修 
免高税 采光视野好 大三居 楼层好 小区人车分流,丰奥嘉园南区,奥体中路,3室2厅 ,137.14, 南 北 , 简装 ,21, 板楼,20, 5个月以前发布,2480000.0,"18,084元/平",近地铁 VR看装修 房本满五年 
海信慧园 正规三居室 户型方正 南北通透,海信慧园一区,康虹路,3室2厅 ,122.59, 南 北 , 简装 ,24, 板楼,45, 3个月以前发布,2150000.0,"17,539元/平",VR看装修 房本满五年 
茗筑方正三居室 业主诚意出售 带地下室,茗筑美嘉,康虹路,3室2厅 ,143.6, 南 北 , 其他 ,19, 板楼,12, 4个月以前发布,2650000.0,"18,455元/平",VR看装修 房本满五年 
洋房三居两卫，低公摊，随时看房，诚意卖房,鑫苑国际城市花园,国际会展中心,3室2厅 ,120.85, 南 北 , 简装 ,9, 板楼,8,14,2100000.0,"17,377元/平",VR看装修 
